counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
list4,,0.4449,0.4451,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,0.4627,1.9486,,-0.110389776,-0.426328974,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,1.9492,10.1641,,-0.110389776,-0.424800442,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,10.1649,11.2979,,-0.023136039,-0.394467561,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,11.2993,12.1641,,-0.023136039,-0.394467561,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,12.1871,12.364,12.3641,12.8654,12.8657,16.3485,,0,[-0.27572605298913044],[-0.3284094769021739],[1],[0],[0],[3.4796000000238365],"[""button_left""]",3.4796,1,16.3487,16.8488,0,0,0,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,16.8506,17.0484,17.0484,17.5475,17.5483,19.2317,,0,[0.3053541100543478],[-0.263862941576087],[1],[0],[0],[1.6821999999880717],"[""button_right""]",1.6822,1,19.2317,19.7319,0,1,1,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,19.7335,19.9317,19.9318,20.4315,20.432,22.4155,z,1,[],[],[],[],[],[],[],1.9775,1,22.4157,22.9152,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,z,1.9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,22.9171,23.115,23.1152,23.6141,23.6154,25.4481,z,1,[],[],[],[],[],[],[],1.8111,1,25.4482,25.9482,0,3,3,13,1,1014,NW,UN,33,winfer,ROUPET,z,1.8111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,25.9496,26.1476,26.1477,26.648,26.649,28.5305,m,1,[],[],[],[],[],[],[],1.8608,1,28.5307,29.0314,0,4,4,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,1.8608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,29.0318,29.2313,29.2313,29.7313,29.7318,30.7152,z,1,[],[],[],[],[],[],[],0.9702,1,30.7154,31.2141,0,5,5,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.9702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,31.215,31.4148,31.4148,31.915,31.9157,32.6813,z,1,[],[],[],[],[],[],[],0.7461,1,32.6814,33.1819,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.7461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,33.1836,33.3817,33.3817,33.8818,33.8828,35.1314,m,0,[],[],[],[],[],[],[],1.2266,0,35.1317,35.6316,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,z,1.2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,35.6329,35.8316,35.8316,36.3318,36.3329,37.4477,m,1,[],[],[],[],[],[],[],1.1056,1,37.4484,37.9474,0,8,8,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,1.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,37.9486,38.1483,38.1483,38.6474,38.6485,40.0639,m,1,[],[],[],[],[],[],[],1.395,1,40.064,40.5649,0,9,9,4,1,1005,WORD,UN,33,abound,SQUEAK,m,1.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,40.5664,40.7645,40.7645,41.265,41.266,42.5983,z,1,[],[],[],[],[],[],[],1.3114,1,42.5984,43.0976,0,10,10,14,1,1015,NW,UN,16,miaber,THRALE,z,1.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,43.0988,43.2982,43.2982,43.7983,43.7993,45.4983,m,1,[],[],[],[],[],[],[],1.6775,1,45.4985,45.9975,0,11,11,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,1.6775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,45.9988,46.1982,46.1983,46.6982,46.6992,47.6149,m,1,[],[],[],[],[],[],[],0.8982,1,47.615,48.1149,0,12,12,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.8982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30098,001,2025-10-20_11h54.55.997,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,48.1163,48.3148,48.3149,48.8148,48.8159,49.5474,m,1,[],[],[],[],[],[],[],0.7162,1,49.5475,50.0483,0,13,13,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.7162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
