counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,525.4019,525.6015,525.6015,526.1014,,,,,,,,,,,,,,0.6863,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,99,0,526.1018,526.789,m,1,0.6863,,[],[],[],[],[],[],[],526.7891,528.7847,528.7848,528.785,[],[],[],[],[],[],[],,528.785,528.785,-0.134323695,-0.404517663,0,0,0,,0,98,98,129,1,3,word,PARENT,print,parent_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,528.7861,528.984,528.984,529.4836,,,,,,,,,,,,,,0.8113,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,100,0,529.4839,530.3014,m,1,0.8113,,[],[],[],[],[],[],[],530.3015,532.3014,532.3014,532.3016,[],[],[],[],[],[],[],,532.3016,532.3017,-0.134323695,-0.404517663,0,0,0,,0,99,99,134,1,3,word,QUALIFY,print,qualify_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,532.3028,532.5013,532.5013,533.0013,,,,,,,,,,,,,,0.6254,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,101,0,533.0017,533.6337,m,1,0.6254,,[],[],[],[],[],[],[],533.6338,535.6338,535.6338,535.6339,[],[],[],[],[],[],[],,535.634,535.6341,-0.134323695,-0.404517663,0,0,0,,0,100,100,85,1,3,word,BENEFIT,print,benefit_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,535.6351,535.8338,535.8338,536.3338,,,,,,,,,,,,,,0.8995,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,102,0,536.3342,537.234,z,1,0.8995,,[],[],[],[],[],[],[],537.2341,539.2336,539.2337,539.2338,[],[],[],[],[],[],[],,539.2338,539.2339,-0.134323695,-0.404517663,0,0,0,,0,101,101,32,1,3,TL,adacemy,print,adacemy_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,539.2346,539.4248,539.4248,539.9337,,,,,,,,,,,,,,0.9911,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,103,0,539.9342,540.9339,z,0,0.9911,,[],[],[],[],[],[],[],540.934,542.9337,542.9337,542.9339,[],[],[],[],[],[],[],,542.9339,542.9339,-0.134323695,-0.404517663,0,0,0,,0,102,102,88,1,3,word,CAMERA,cursive,camera_c.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,542.9349,543.1338,543.1339,543.6337,,,,,,,,,,,,,,1.16,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,104,0,543.6341,544.8011,m,1,1.16,,[],[],[],[],[],[],[],544.8012,546.8013,546.8013,546.8014,[],[],[],[],[],[],[],,546.8015,546.8016,-0.134323695,-0.404517663,0,0,0,,0,103,103,127,1,3,word,ORIGINAL,cursive,original_c.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,546.8026,547.0013,547.0013,547.5004,,,,,,,,,,,,,,0.7326,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,105,0,547.5008,548.2339,m,1,0.7326,,[],[],[],[],[],[],[],548.2339,550.2336,550.2336,550.2338,[],[],[],[],[],[],[],,550.2338,550.2339,-0.134323695,-0.404517663,0,0,0,,0,104,104,139,1,3,word,REGULAR,print,regular_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,550.2346,550.4337,550.4338,550.9345,,,,,,,,,,,,,,0.8789,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,106,0,550.9348,551.8177,m,1,0.8789,,[],[],[],[],[],[],[],551.8177,553.8178,553.8178,553.818,[],[],[],[],[],[],[],,553.8181,553.8182,-0.134323695,-0.404517663,0,0,0,,0,105,105,105,1,3,word,EDITOR,print,editor_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,553.8192,554.0173,554.0173,554.5258,,,,,,,,,,,,,,1.8902,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,107,0,554.5261,556.417,m,1,1.8902,,[],[],[],[],[],[],[],556.4172,558.4177,558.4179,558.4179,[],[],[],[],[],[],[],,558.4179,558.418,-0.134323695,-0.404517663,0,0,0,,0,106,106,112,1,3,word,LIBERAL,print,liberal_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,558.4191,558.6177,558.6177,559.1167,,,,,,,,,,,,,,3.3002,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,108,0,559.1171,562.4178,m,1,3.3002,,[],[],[],[],[],[],[],562.4178,564.4177,564.4177,564.4178,[],[],[],[],[],[],[],,564.4179,564.418,-0.134323695,-0.404517663,0,0,0,,0,107,107,130,1,3,word,POLICY,print,policy_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,564.419,564.6176,564.6176,565.1167,,,,,,,,,,,,,,1.294,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,109,1,565.1171,566.4169,z,1,1.294,,[],[],[],[],[],[],[],566.4169,568.4176,568.4176,569.9339,[],[],[],[],[],[],[],z,569.9339,569.934,-0.134323695,-0.404517663,0,0,0,,0,108,108,72,1,3,TL,senmitent,print,senmitent_p.png,1.5145,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,569.9348,570.1339,570.1339,570.6338,,,,,,,,,,,,,,1.462,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,110,0,570.6341,572.1008,m,0,1.462,,[],[],[],[],[],[],[],572.1009,574.1008,574.1008,574.101,[],[],[],[],[],[],[],,574.101,574.1011,-0.134323695,-0.404517663,0,0,0,,0,109,109,20,1,3,RL,orimipal,cursive,orimipal_c.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,574.102,574.3004,574.3004,574.8009,,,,,,,,,,,,,,0.6962,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,111,0,574.8015,575.5001,z,1,0.6962,,[],[],[],[],[],[],[],575.5001,577.5006,577.5007,577.5008,[],[],[],[],[],[],[],,577.5009,577.5009,-0.134323695,-0.404517663,0,0,0,,0,110,110,40,1,3,TL,condiser,print,condiser_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,577.502,577.7007,577.7008,578.2,,,,,,,,,,,,,,0.7832,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,112,0,578.2004,578.984,m,1,0.7832,,[],[],[],[],[],[],[],578.984,580.9837,580.9838,580.984,[],[],[],[],[],[],[],,580.9841,580.9841,-0.134323695,-0.404517663,0,0,0,,0,111,111,131,1,3,word,POPULAR,print,popular_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,580.9851,581.1837,581.1837,581.6837,,,,,,,,,,,,,,1.332,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,113,0,581.6841,583.0169,z,0,1.332,,[],[],[],[],[],[],[],583.017,585.0173,585.0174,585.0175,[],[],[],[],[],[],[],,585.0175,585.0176,-0.134323695,-0.404517663,0,0,0,,0,112,112,92,1,3,word,CATEGORY,cursive,category_c.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,585.0186,585.2173,585.2174,585.7173,,,,,,,,,,,,,,0.6983,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,114,0,585.7177,586.4167,z,1,0.6983,,[],[],[],[],[],[],[],586.4168,588.4174,588.4174,588.4182,[],[],[],[],[],[],[],,588.4182,588.4183,-0.134323695,-0.404517663,0,0,0,,0,113,113,8,1,3,RL,cocewage,print,cocewage_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,588.4198,588.6173,588.6174,589.1163,,,,,,,,,,,,,,1.2496,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,115,0,589.1167,590.3673,m,1,1.2496,,[],[],[],[],[],[],[],590.3674,592.3672,592.3673,592.3674,[],[],[],[],[],[],[],,592.3675,592.3675,-0.134323695,-0.404517663,0,0,0,,0,114,114,116,1,3,word,MARGINAL,print,marginal_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,592.3689,592.5673,592.5673,593.0673,,,,,,,,,,,,,,0.696,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,116,0,593.0676,593.7671,z,1,0.696,,[],[],[],[],[],[],[],593.7671,595.7664,595.7664,595.7665,[],[],[],[],[],[],[],,595.7665,595.7666,-0.134323695,-0.404517663,0,0,0,,0,115,115,0,1,3,RL,afaneur,print,afaneur_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,595.7672,595.9661,595.9662,596.4672,,,,,,,,,,,,,,0.6424,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,117,0,596.4676,597.1164,z,1,0.6424,,[],[],[],[],[],[],[],597.1165,599.1166,599.1166,599.1168,[],[],[],[],[],[],[],,599.1168,599.1169,-0.134323695,-0.404517663,0,0,0,,0,116,116,66,1,3,TL,retalive,cursive,retalive_c.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,599.1177,599.3171,599.3172,599.8171,,,,,,,,,,,,,,0.5949,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,118,0,599.8176,600.4171,z,1,0.5949,,[],[],[],[],[],[],[],600.4171,602.4171,602.4172,602.4172,[],[],[],[],[],[],[],,602.4173,602.4174,-0.134323695,-0.404517663,0,0,0,,0,117,117,9,1,3,RL,docirant,print,docirant_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,602.4184,602.6166,602.6167,603.1165,,,,,,,,,,,,,,0.6813,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,119,0,603.1168,603.7994,z,1,0.6813,,[],[],[],[],[],[],[],603.7996,605.8004,605.8004,605.8005,[],[],[],[],[],[],[],,605.8006,605.8007,-0.134323695,-0.404517663,0,0,0,,0,118,118,64,1,3,TL,radiply,print,radiply_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,605.8017,605.9999,606,606.5005,,,,,,,,,,,,,,1.097,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,120,0,606.5011,607.6002,m,1,1.097,,[],[],[],[],[],[],[],607.6002,609.6003,609.6003,609.6005,[],[],[],[],[],[],[],,609.6005,609.6006,-0.134323695,-0.404517663,0,0,0,,0,119,119,124,1,3,word,NUMERICAL,print,numerical_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,609.6015,609.7994,609.7995,610.3003,,,,,,,,,,,,,,0.7923,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,121,0,610.3007,611.1004,m,1,0.7923,,[],[],[],[],[],[],[],611.1004,613.088,613.0881,613.0882,[],[],[],[],[],[],[],,613.0883,613.0883,-0.134323695,-0.404517663,0,0,0,,0,120,120,98,1,3,word,CRIMINAL,print,criminal_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,613.0898,613.2834,613.2834,613.7831,,,,,,,,,,,,,,0.6294,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,122,0,613.7834,614.4169,z,1,0.6294,,[],[],[],[],[],[],[],614.417,616.4165,616.4165,616.4166,[],[],[],[],[],[],[],,616.4166,616.4167,-0.134323695,-0.404517663,0,0,0,,0,121,121,23,1,3,RL,quakity,print,quakity_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,616.4174,616.6163,616.6163,617.1165,,,,,,,,,,,,,,1.2312,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,123,0,617.1168,618.3504,m,1,1.2312,,[],[],[],[],[],[],[],618.3504,620.3501,620.3502,620.3502,[],[],[],[],[],[],[],,620.3503,620.3503,-0.134323695,-0.404517663,0,0,0,,0,122,122,142,1,3,word,REMOTE,print,remote_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,620.3512,620.5501,620.5502,621.0502,,,,,,,,,,,,,,1.1097,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,124,0,621.0506,622.167,z,1,1.1097,,[],[],[],[],[],[],[],622.167,624.1667,624.1668,624.1669,[],[],[],[],[],[],[],,624.1669,624.1671,-0.134323695,-0.404517663,0,0,0,,0,123,123,2,1,3,RL,betemit,print,betemit_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,624.168,624.3668,624.3668,624.8668,,,,,,,,,,,,,,1.1655,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,125,0,624.8671,626.0335,z,1,1.1655,,[],[],[],[],[],[],[],626.0335,628.0334,628.0334,628.0335,[],[],[],[],[],[],[],,628.0336,628.0336,-0.134323695,-0.404517663,0,0,0,,0,124,124,73,1,3,TL,speficic,print,speficic_p.png,,,,,,
,,,,30758,001,2025-10-15_20h03.29.108,HW_LDT_1,2024.2.4,MacIntel,61.34969325,,,,,,,,,,,,,,,,,,,,,,628.0343,628.2324,628.2325,628.7323,,,,,,,,,,,,,,2.1632,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,126,0,628.7325,630.8999,m,1,2.1632,,[],[],[],[],[],[],[],630.9,632.9,632.9001,632.9001,[],[],[],[],[],[],[],,632.9003,632.9003,-0.134323695,-0.404517663,0,0,0,,0,125,125,136,1,3,word,RADICAL,cursive,radical_c.png,,,,,,
