counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_2.rt,key_resp_2.duration,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,86.3132,86.5129,86.5129,87.0133,87.014,87.7301,,0,[-0.32414198133680555],[-0.30729668511284725],[1],[0],[0],[0.7146999999992545],"[""button_left""]",0.7147,1,87.7302,88.2303,0,5,5,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,88.2313,88.4298,88.4299,88.9301,88.9317,89.8797,,0,[-0.5440143330891927],[-0.31749613444010416],[1],[0],[0],[0.9471999999992136],"[""button_left""]",0.9472,1,89.8798,90.38,0,6,6,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,90.3812,90.5796,90.5796,91.0803,91.0811,91.997,,0,[0.294207763671875],[-0.2718243408203125],[1],[0],[0],[0.9146999999992431],"[""button_right""]",0.9147,1,91.9971,92.4972,0,7,7,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,92.4983,92.6972,92.6972,93.1975,93.1986,94.2797,,0,[-0.271915045844184],[-0.3478411865234375],[1],[0],[0],[1.0801999999992518],"[""button_left""]",1.0802,1,94.2797,94.7795,0,8,8,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,94.78,94.9803,94.9803,95.4804,95.481,96.6641,,0,[0.2481411404079861],[-0.29686604817708334],[1],[0],[0],[1.1820000000000164],"[""button_right""]",1.182,1,96.6642,97.164,0,9,9,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,97.1653,97.3642,97.3642,97.8642,97.8648,99.2306,m,1,[],[],[],[],[],[],[],1.3415,1,99.2307,99.731,0,10,10,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,1.3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,99.732,99.931,99.931,100.431,100.4318,105.8983,,0,[-0.24858968098958334],[-0.31257059733072917],[1],[0],[0],[5.4652999999970575],"[""button_left""]",5.4653,1,105.8983,106.3978,0,11,11,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,106.399,106.598,106.5981,107.0981,107.0987,109.0471,,0,[-0.26255584716796876],[-0.29251017252604167],[1],[0],[0],[1.947399999998538],"[""button_left""]",1.9474,1,109.0473,109.5472,0,12,12,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,109.5481,109.7476,109.7476,110.2483,110.249,111.664,,0,[0.40057535807291667],[-0.3524541558159722],[1],[0],[0],[1.4138000000007196],"[""button_right""]",1.4138,1,111.6641,112.1651,0,13,13,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,112.1656,112.3645,112.3645,112.8654,112.8662,113.7492,,0,[0.4205712890625],[-0.3327629258897569],[1],[0],[0],[0.8816999999992845],"[""button_right""]",0.8817,1,113.7492,114.2483,0,14,14,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,114.2488,114.4482,114.4482,114.9488,114.9493,117.0154,,0,[0.29831095377604167],[-0.2854606797960069],[1],[0],[0],[2.0651000000015074],"[""button_right""]",2.0651,1,117.0155,117.5147,0,15,15,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5185,177.7529,,0.080397949,-0.384028524,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,177.7663,177.9524,177.9524,178.4521,,,,,,,,,,,,0.9612,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,1,0,178.453,179.42,,0,[0.4889192708333333],[-0.31856519911024306],[1],[0],[0],[0.9611999999992236],"[""button_right_main""]",179.4201,181.419,181.4191,181.4237,[],[],[],[],[],[],[],,181.424,181.4281,0.298485514,-0.255162964,0,0,0,,0,0,0,92,1,2,word,CATEGORY,print,category_p.png,,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,181.4296,181.6198,181.6198,182.1198,,,,,,,,,,,,1.5935,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,2,0,182.1202,183.7199,z,1,[],[],[],[],[],[],[],183.7199,185.72,185.7201,185.7205,[],[],[],[],[],[],[],,185.7206,185.7208,0.298485514,-0.255162964,0,0,0,,0,1,1,8,1,2,RL,desifate,print,desifate_p.png,1.5935,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,185.7224,185.9201,185.9201,186.4202,,,,,,,,,,,,0.8463,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,3,0,186.4207,187.2692,z,1,[],[],[],[],[],[],[],187.2693,189.2693,189.2694,189.2696,[],[],[],[],[],[],[],,189.2697,189.2697,0.298485514,-0.255162964,0,0,0,,0,2,2,16,1,2,RL,losipal,print,losipal_p.png,0.8463,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,189.2709,189.47,189.47,189.9693,,,,,,,,,,,,0.6962,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,4,0,189.9697,190.6699,m,1,[],[],[],[],[],[],[],190.67,192.6705,192.6706,192.6709,[],[],[],[],[],[],[],,192.6709,192.671,0.298485514,-0.255162964,0,0,0,,0,3,3,114,1,2,word,LOCATE,print,locate_p.png,0.6962,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,192.672,192.8705,192.8706,193.37,,,,,,,,,,,,0.9385,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,5,1,193.3704,194.3203,m,1,[],[],[],[],[],[],[],194.3204,196.3201,196.3201,198.1199,[],[],[],[],[],[],[],z,198.12,198.1204,0.298485514,-0.255162964,0,0,0,,0,4,4,80,1,2,word,ACADEMY,cursive,academy_c.png,0.9385,,1.7989,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,198.1211,198.321,198.321,198.821,,,,,,,,,,,,1.3206,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,6,0,198.8214,200.1541,m,1,[],[],[],[],[],[],[],200.1542,202.154,202.1541,202.1545,[],[],[],[],[],[],[],,202.1545,202.1547,0.298485514,-0.255162964,0,0,0,,0,5,5,132,1,2,word,PROPOSAL,cursive,proposal_c.png,1.3206,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,202.1561,202.3545,202.3546,202.8534,,,,,,,,,,,,1.7622,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,7,0,202.8537,204.6212,m,0,[],[],[],[],[],[],[],204.6212,206.6215,206.6216,206.6218,[],[],[],[],[],[],[],,206.6218,206.622,0.298485514,-0.255162964,0,0,0,,0,6,6,61,1,2,TL,nuremical,cursive,nuremical_c.png,1.7622,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,206.6229,206.8212,206.8212,207.3205,,,,,,,,,,,,0.9285,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,8,0,207.3209,208.2549,z,1,[],[],[],[],[],[],[],208.255,210.2551,210.2551,210.2553,[],[],[],[],[],[],[],,210.2553,210.2554,0.298485514,-0.255162964,0,0,0,,0,7,7,48,1,2,TL,detabe,print,detabe_p.png,0.9285,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,210.2564,210.4549,210.4549,210.9544,,,,,,,,,,,,0.9643,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,9,0,210.9549,211.9205,z,1,[],[],[],[],[],[],[],211.9206,213.921,213.921,213.9212,[],[],[],[],[],[],[],,213.9212,213.9213,0.298485514,-0.255162964,0,0,0,,0,8,8,60,1,2,TL,molibe,print,molibe_p.png,0.9643,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,213.9223,214.122,214.122,214.622,,,,,,,,,,,,3.2766,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,10,0,214.6223,217.9045,z,1,[],[],[],[],[],[],[],217.9047,219.9056,219.9058,219.9059,[],[],[],[],[],[],[],,219.9059,219.9061,0.298485514,-0.255162964,0,0,0,,0,9,9,14,1,2,RL,insibate,cursive,insibate_c.png,3.2766,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,219.9074,220.1057,220.1057,220.6058,,,,,,,,,,,,1.4534,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,11,0,220.6062,222.0715,m,1,[],[],[],[],[],[],[],222.0716,224.0727,224.0727,224.0729,[],[],[],[],[],[],[],,224.0729,224.0731,0.298485514,-0.255162964,0,0,0,,0,10,10,156,1,2,word,TRIBUTE,cursive,tribute_c.png,1.4534,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,224.0746,224.2717,224.2717,224.7727,,,,,,,,,,,,0.9099,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,12,1,224.7731,225.6882,z,1,[],[],[],[],[],[],[],225.6883,227.6886,227.6886,229.2554,[],[],[],[],[],[],[],z,229.2554,229.2555,0.298485514,-0.255162964,0,0,0,,0,11,11,38,1,2,TL,atameur,cursive,atameur_c.png,0.9099,,1.5661,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,229.2564,229.4565,229.4565,229.9564,,,,,,,,,,,,0.8968,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,13,0,229.9568,230.8555,z,1,[],[],[],[],[],[],[],230.8555,232.8557,232.8557,232.8559,[],[],[],[],[],[],[],,232.8559,232.856,0.298485514,-0.255162964,0,0,0,,0,12,12,31,1,2,RL,spetisic,print,spetisic_p.png,0.8968,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,232.8574,233.0566,233.0567,233.5567,,,,,,,,,,,,1.5969,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,14,0,233.5571,235.1564,z,1,[],[],[],[],[],[],[],235.1565,237.1569,237.1569,237.157,[],[],[],[],[],[],[],,237.1571,237.1572,0.298485514,-0.255162964,0,0,0,,0,13,13,34,1,2,RL,trilude,cursive,trilude_c.png,1.5969,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,237.1583,237.3557,237.3558,237.8558,,,,,,,,,,,,0.8113,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,15,0,237.8561,238.673,z,1,[],[],[],[],[],[],[],238.6731,240.6737,240.6738,240.674,[],[],[],[],[],[],[],,240.674,240.674,0.298485514,-0.255162964,0,0,0,,0,14,14,13,1,2,RL,helicage,print,helicage_p.png,0.8113,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,240.6751,240.873,240.873,241.3727,,,,,,,,,,,,0.839,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,16,0,241.3731,242.223,z,1,[],[],[],[],[],[],[],242.2231,244.2229,244.223,244.2232,[],[],[],[],[],[],[],,244.2232,244.2232,0.298485514,-0.255162964,0,0,0,,0,15,15,10,1,2,RL,disluge,cursive,disluge_c.png,0.839,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,244.2243,244.4232,244.4233,244.9241,,,,,,,,,,,,1.4389,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,17,0,244.9244,246.3743,m,1,[],[],[],[],[],[],[],246.3744,248.3734,248.3734,248.3736,[],[],[],[],[],[],[],,248.3736,248.3737,0.298485514,-0.255162964,0,0,0,,0,16,16,110,1,2,word,HERITAGE,print,heritage_p.png,1.4389,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,248.375,248.5743,248.5743,249.0743,,,,,,,,,,,,1.564,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,18,0,249.0747,250.6403,z,0,[],[],[],[],[],[],[],250.6403,252.6413,252.6413,252.6414,[],[],[],[],[],[],[],,252.6415,252.6416,0.298485514,-0.255162964,0,0,0,,0,17,17,155,1,2,word,STRATEGY,cursive,strategy_c.png,1.564,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,252.6429,252.8414,252.8415,253.3413,,,,,,,,,,,,0.8043,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,19,0,253.3418,254.1577,z,1,[],[],[],[],[],[],[],254.1577,256.1576,256.1577,256.1578,[],[],[],[],[],[],[],,256.1579,256.158,0.298485514,-0.255162964,0,0,0,,0,18,18,68,1,2,TL,quatily,cursive,quatily_c.png,0.8043,,,,,,
,,,,31622,001,2025-11-05_10h50.25.488,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,256.1593,256.3577,256.3577,256.8569,,,,,,,,,,,,0.7638,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,20,0,256.8571,257.6236,m,1,[],[],[],[],[],[],[],257.6237,259.6247,259.6247,259.6248,[],[],[],[],[],[],[],,259.6248,259.6248,0.298485514,-0.255162964,0,0,0,,0,19,19,97,1,2,word,COVERAGE,cursive,coverage_c.png,0.7638,,,,,,
