counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,instr_done_touch.clicked_name,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
list2,,0.5092,0.5093,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,0.529,4.6276,space,4.0689,,0.010243811,-0.411473919,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,4.6294,14.7769,space,10.1235,,-0.076866839,-0.058912541,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,14.7788,18.11,space,3.3024,,-0.076866839,-0.058912541,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,18.1119,30.5764,space,12.4366,,-0.076866839,-0.058912541,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,30.6046,30.7763,30.7768,31.2763,31.2766,32.61,m,1,1.3045,,[],[],[],[],[],[],[],1.3045,1,32.6105,33.1097,0,0,0,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,33.1112,33.3084,33.3085,33.8093,33.8105,34.5592,z,1,0.7309,,[],[],[],[],[],[],[],0.7309,1,34.5594,35.0595,0,1,1,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,35.0609,35.2594,35.2594,35.7585,35.7595,36.8261,m,0,1.0454,,[],[],[],[],[],[],[],1.0454,0,36.827,37.3262,0,2,2,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,37.3274,37.5261,37.5261,38.0249,38.0255,39.2599,z,1,1.228,,[],[],[],[],[],[],[],1.228,1,39.2608,39.7594,0,3,3,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32192,001,2025-10-16_15h13.05.193,HW_LDT_1,2024.2.4,MacIntel,57.14285714,,,,,,,,,,,,,,,,,,,,,,39.7608,39.9583,39.9584,40.4583,40.4593,41.1259,z,1,0.6454,,[],[],[],[],[],[],[],0.6454,1,41.1262,41.626,0,4,4,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
