counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,223.7407,223.9392,223.9392,224.4391,,,,,,,,,,,,,,0.7852,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,40,0,224.4396,225.2307,z,1,0.7852,,[],[],[],[],[],[],[],225.2308,227.231,227.2311,227.2313,[],[],[],[],[],[],[],,,,227.2313,227.2315,0.082324219,-0.415867332,0,0,0,,0,39,39,9,1,1,RL,docirant,cursive,docirant_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,227.2327,227.4307,227.4309,227.9307,,,,,,,,,,,,,,0.8952,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,41,1,227.9309,228.8299,z,1,0.8952,,[],[],[],[],[],[],[],228.83,230.83,230.83,232.9043,[],[],[],[],[],[],[],m,2.0711,,232.9044,232.9044,0.082324219,-0.415867332,0,0,0,,0,40,40,18,1,1,RL,mishafe,print,mishafe_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,232.9051,233.0997,233.0997,233.6006,,,,,,,,,,,,,,0.7582,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,42,0,233.6013,234.3633,m,1,0.7582,,[],[],[],[],[],[],[],234.3633,236.3589,236.3589,236.3591,[],[],[],[],[],[],[],,,,236.3592,236.3593,0.082324219,-0.415867332,0,0,0,,0,41,41,112,1,1,word,LIBERAL,cursive,liberal_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,236.3606,236.5574,236.5574,237.0549,,,,,,,,,,,,,,0.6366,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,43,0,237.0552,237.6957,m,1,0.6366,,[],[],[],[],[],[],[],237.6957,239.692,239.6921,239.6924,[],[],[],[],[],[],[],,,,239.6925,239.6925,0.082324219,-0.415867332,0,0,0,,0,42,42,86,1,1,word,BESIDE,print,beside_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,239.6938,239.8921,239.8922,240.3887,,,,,,,,,,,,,,1.0638,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,44,0,240.3893,241.4579,z,1,1.0638,,[],[],[],[],[],[],[],241.458,243.4565,243.4567,243.4569,[],[],[],[],[],[],[],,,,243.4569,243.4571,0.082324219,-0.415867332,0,0,0,,0,43,43,73,1,1,TL,ronamtic,cursive,ronamtic_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,243.4584,243.657,243.6572,244.1576,,,,,,,,,,,,,,0.6717,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,45,0,244.1581,244.8334,m,1,0.6717,,[],[],[],[],[],[],[],244.8335,246.8348,246.8348,246.835,[],[],[],[],[],[],[],,,,246.835,246.8351,0.082324219,-0.415867332,0,0,0,,0,44,44,142,1,1,word,REMOTE,print,remote_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,246.8365,247.03,247.03,247.5338,,,,,,,,,,,,,,0.9696,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,46,0,247.5344,248.5046,z,1,0.9696,,[],[],[],[],[],[],[],248.5047,250.5003,250.5004,250.5006,[],[],[],[],[],[],[],,,,250.5007,250.5007,0.082324219,-0.415867332,0,0,0,,0,45,45,44,1,1,TL,cateferia,cursive,cateferia_c.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,250.5017,250.7005,250.7005,251.1992,,,,,,,,,,,,,,0.5776,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,47,0,251.2,251.783,m,1,0.5776,,[],[],[],[],[],[],[],251.783,253.784,253.7841,253.7842,[],[],[],[],[],[],[],,,,253.7842,253.7843,0.082324219,-0.415867332,0,0,0,,0,46,46,91,1,1,word,CARDINAL,print,cardinal_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,253.7855,253.9835,253.9835,254.4841,,,,,,,,,,,,,,0.6378,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,48,1,254.4846,255.1278,m,1,0.6378,,[],[],[],[],[],[],[],255.1278,257.1297,257.1297,258.1466,[],[],[],[],[],[],[],m,1.0118,,258.1468,258.1468,0.082324219,-0.415867332,0,0,0,,0,47,47,126,1,1,word,OPTIMAL,print,optimal_p.png,,,,
,,,,31851,001,2025-10-16_16h59.14.122,HW_LDT_1,2024.2.4,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,258.148,258.3477,258.3478,258.8433,,,,,,,,,,,,,,0.8076,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,49,0,258.8438,259.6547,m,0,0.8076,,[],[],[],[],[],[],[],259.6548,261.6506,261.6507,261.6509,[],[],[],[],[],[],[],,,,261.6509,261.651,0.082324219,-0.415867332,0,0,0,,0,48,48,40,1,1,TL,atameur,print,atameur_p.png,,,,
