counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,20.3673,20.565,20.5651,21.066,21.0667,22.2328,m,0,1.1369,,[],[],[],[],[],[],[],1.1369,0,22.2338,22.7327,0,5,5,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,22.734,22.9327,22.9328,23.4328,23.434,24.5158,m,1,1.0608,,[],[],[],[],[],[],[],1.0608,1,24.5164,25.016,0,6,6,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,25.0171,25.2152,25.2152,25.7161,25.7171,26.9328,m,1,1.1914,,[],[],[],[],[],[],[],1.1914,1,26.933,27.4326,0,7,7,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,27.4339,27.6323,27.6323,28.1325,28.133,29.0321,m,1,0.8761,,[],[],[],[],[],[],[],0.8761,1,29.0322,29.5318,0,8,8,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,29.5328,29.7327,29.7327,30.2327,30.2336,31.2491,m,1,0.9919,,[],[],[],[],[],[],[],0.9919,1,31.2493,31.7492,0,9,9,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,31.7503,31.9494,31.9494,32.4488,32.4498,33.3326,m,1,0.8559,,[],[],[],[],[],[],[],0.8559,1,33.3327,33.8325,0,10,10,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,33.8336,34.0323,34.0323,34.5322,34.5329,35.3983,z,1,0.8442,,[],[],[],[],[],[],[],0.8442,1,35.3984,35.8991,0,11,11,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,35.9002,36.0993,36.0993,36.5987,36.5996,37.5824,z,1,0.9583,,[],[],[],[],[],[],[],0.9583,1,37.5824,38.0825,0,12,12,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,38.0836,38.2824,38.2825,38.7825,38.7834,41.266,z,1,2.4512,,[],[],[],[],[],[],[],2.4512,1,41.2661,41.7653,0,13,13,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,41.7665,41.9658,41.9658,42.4654,42.4663,43.5822,m,1,1.0959,,[],[],[],[],[],[],[],1.0959,1,43.5823,44.0825,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,44.0835,44.2824,44.2824,44.7824,44.7831,46.0489,z,1,1.2461,,[],[],[],[],[],[],[],1.2461,1,46.0489,46.5481,0,15,15,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5541,47.6315,,0.063073256,-0.382624444,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,47.6487,47.8323,47.8323,48.3318,,,,,,,,,,,,,,1.3088,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,1,0,48.3332,49.6491,m,0,1.3088,,[],[],[],[],[],[],[],49.6492,51.6491,51.6494,51.6527,[],[],[],[],[],[],[],,51.6528,51.6549,0.063073256,-0.382624444,0,0,0,,0,0,0,78,1,4,TL,stragety,print,stragety_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,51.6556,51.849,51.8491,52.348,,,,,,,,,,,,,,0.8538,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,2,0,52.3486,53.2155,m,1,0.8538,,[],[],[],[],[],[],[],53.2157,55.2146,55.2147,55.2149,[],[],[],[],[],[],[],,55.215,55.215,0.063073256,-0.382624444,0,0,0,,0,1,1,90,1,4,word,CAPITAL,print,capital_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,55.216,55.4147,55.4147,55.9154,,,,,,,,,,,,,,1.722,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,3,0,55.9159,57.6489,m,1,1.722,,[],[],[],[],[],[],[],57.6489,59.649,59.6491,59.6493,[],[],[],[],[],[],[],,59.6493,59.6495,0.063073256,-0.382624444,0,0,0,,0,2,2,104,1,4,word,DOMINANT,cursive,dominant_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,59.6505,59.8489,59.8489,60.3489,,,,,,,,,,,,,,2.109,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,4,0,60.3493,62.4643,z,0,2.109,,[],[],[],[],[],[],[],62.4644,64.4654,64.4655,64.4656,[],[],[],[],[],[],[],,64.4657,64.4658,0.063073256,-0.382624444,0,0,0,,0,3,3,99,1,4,word,DEBATE,cursive,debate_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,64.4666,64.665,64.6651,65.1654,,,,,,,,,,,,,,1.3287,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,5,1,65.1658,66.4988,m,0,1.3287,,[],[],[],[],[],[],[],66.4988,68.4978,68.4978,75.0821,[],[],[],[],[],[],[],m,75.0822,75.0824,0.063073256,-0.382624444,0,0,0,,0,4,4,70,1,4,TL,quatily,print,quatily_p.png,6.5723,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,75.0837,75.2811,75.2811,75.7817,,,,,,,,,,,,,,2.4739,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,6,0,75.7821,78.2651,m,0,2.4739,,[],[],[],[],[],[],[],78.2653,80.2652,80.2653,80.2656,[],[],[],[],[],[],[],,80.2657,80.2659,0.063073256,-0.382624444,0,0,0,,0,5,5,32,1,4,RL,patisic,cursive,patisic_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,80.267,80.4651,80.4651,80.9651,,,,,,,,,,,,,,1.0536,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,7,0,80.9655,82.0197,m,1,1.0536,,[],[],[],[],[],[],[],82.0199,84.0151,84.0151,84.0154,[],[],[],[],[],[],[],,84.0154,84.0155,0.063073256,-0.382624444,0,0,0,,0,6,6,146,1,4,word,RETIRE,print,retire_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,84.0167,84.2143,84.2143,84.7152,,,,,,,,,,,,,,0.7094,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,8,0,84.7158,85.4311,m,1,0.7094,,[],[],[],[],[],[],[],85.4312,87.4309,87.431,87.4311,[],[],[],[],[],[],[],,87.4312,87.4313,0.063073256,-0.382624444,0,0,0,,0,7,7,117,1,4,word,MARINE,print,marine_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,87.4324,87.6313,87.6314,88.1312,,,,,,,,,,,,,,1.3767,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,9,0,88.1317,89.5151,z,1,1.3767,,[],[],[],[],[],[],[],89.5151,91.515,91.515,91.5151,[],[],[],[],[],[],[],,91.5152,91.5154,0.063073256,-0.382624444,0,0,0,,0,8,8,10,1,4,RL,carminal,cursive,carminal_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,91.5166,91.715,91.7151,92.2149,,,,,,,,,,,,,,2.5773,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,10,1,92.2153,94.7972,m,0,2.5773,,[],[],[],[],[],[],[],94.7972,96.7982,96.7983,97.8638,[],[],[],[],[],[],[],z,97.8639,97.864,0.063073256,-0.382624444,0,0,0,,0,9,9,59,1,4,TL,fornute,cursive,fornute_c.png,1.0571,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,97.8647,98.0643,98.0643,98.5648,,,,,,,,,,,,,,1.2541,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,11,0,98.5652,99.8316,m,1,1.2541,,[],[],[],[],[],[],[],99.8317,101.8307,101.8307,101.8309,[],[],[],[],[],[],[],,101.8309,101.8311,0.063073256,-0.382624444,0,0,0,,0,10,10,148,1,4,word,SALINE,print,saline_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,101.8319,102.0317,102.0317,102.5316,,,,,,,,,,,,,,1.0973,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,12,0,102.532,103.6305,z,1,1.0973,,[],[],[],[],[],[],[],103.6306,105.6312,105.6312,105.6313,[],[],[],[],[],[],[],,105.6313,105.6314,0.063073256,-0.382624444,0,0,0,,0,11,11,22,1,4,RL,linedal,cursive,linedal_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,105.6324,105.8305,105.8305,106.3311,,,,,,,,,,,,,,0.9065,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,13,0,106.3315,107.2481,m,1,0.9065,,[],[],[],[],[],[],[],107.2481,109.2482,109.2483,109.2485,[],[],[],[],[],[],[],,109.2486,109.2487,0.063073256,-0.382624444,0,0,0,,0,12,12,131,1,4,word,POPULAR,print,popular_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,109.2499,109.4478,109.4478,109.9477,,,,,,,,,,,,,,1.2932,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,14,0,109.9481,111.2477,m,1,1.2932,,[],[],[],[],[],[],[],111.2478,113.2481,113.2482,113.2483,[],[],[],[],[],[],[],,113.2484,113.2484,0.063073256,-0.382624444,0,0,0,,0,13,13,150,1,4,word,SENTIMENT,print,sentiment_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,113.2495,113.4481,113.4482,113.9475,,,,,,,,,,,,,,1.2156,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,15,0,113.9478,115.164,m,0,1.2156,,[],[],[],[],[],[],[],115.1641,117.164,117.1641,117.1643,[],[],[],[],[],[],[],,117.1643,117.1644,0.063073256,-0.382624444,0,0,0,,0,14,14,76,1,4,TL,setanor,print,setanor_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,117.1655,117.3641,117.3641,117.8647,,,,,,,,,,,,,,1.2716,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,16,0,117.865,119.148,m,1,1.2716,,[],[],[],[],[],[],[],119.1481,121.147,121.1471,121.1472,[],[],[],[],[],[],[],,121.1472,121.1473,0.063073256,-0.382624444,0,0,0,,0,15,15,139,1,4,word,REGULAR,cursive,regular_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,121.1483,121.3473,121.3474,121.8478,,,,,,,,,,,,,,0.8454,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,17,0,121.8482,122.6978,z,1,0.8454,,[],[],[],[],[],[],[],122.6979,124.6976,124.6976,124.6978,[],[],[],[],[],[],[],,124.6979,124.698,0.063073256,-0.382624444,0,0,0,,0,16,16,47,1,4,RL,stopave,print,stopave_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,124.6988,124.8981,124.8982,125.3976,,,,,,,,,,,,,,1.3227,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,18,0,125.3981,126.7313,m,1,1.3227,,[],[],[],[],[],[],[],126.7314,128.7313,128.7314,128.7316,[],[],[],[],[],[],[],,128.7316,128.7318,0.063073256,-0.382624444,0,0,0,,0,17,17,124,1,4,word,NUMERICAL,cursive,numerical_c.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,128.7328,128.9311,128.9311,129.4306,,,,,,,,,,,,,,0.8713,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,19,0,129.4311,130.3146,z,1,0.8713,,[],[],[],[],[],[],[],130.3146,132.3144,132.3145,132.3147,[],[],[],[],[],[],[],,132.3147,132.3149,0.063073256,-0.382624444,0,0,0,,0,18,18,75,1,4,TL,sanile,print,sanile_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,132.316,132.5145,132.5146,133.0144,,,,,,,,,,,,,,0.7397,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,20,0,133.0149,133.7644,m,1,0.7397,,[],[],[],[],[],[],[],133.7645,135.7644,135.7644,135.7647,[],[],[],[],[],[],[],,135.7647,135.7648,0.063073256,-0.382624444,0,0,0,,0,19,19,126,1,4,word,OPTIMAL,print,optimal_p.png,,,,,,
,,,,32127,001,2025-10-16_16h07.17.515,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,135.766,135.9636,135.9636,136.4644,,,,,,,,,,,,,,0.7884,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,21,0,136.4648,137.2635,m,1,0.7884,,[],[],[],[],[],[],[],137.2636,139.2643,139.2643,139.2644,[],[],[],[],[],[],[],,139.2644,139.2646,0.063073256,-0.382624444,0,0,0,,0,20,20,89,1,4,word,CAPACITY,cursive,capacity_c.png,,,,,,
