counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,320.4579,320.6562,320.6562,321.1572,,,,,,,,,,,,,,0.8195,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,62,0,321.1577,321.9897,m,1,0.8195,,[],[],[],[],[],[],[],321.9898,323.9907,323.9907,323.9909,[],[],[],[],[],[],[],,,,323.9909,323.991,0.278177083,-0.181736111,0,0,0,,0,61,61,121,1,1,word,MISTAKE,print,mistake_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,323.9922,324.1907,324.1907,324.6908,,,,,,,,,,,,,,0.6034,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,63,0,324.6913,325.3064,m,1,0.6034,,[],[],[],[],[],[],[],325.3065,327.3075,327.3075,327.3077,[],[],[],[],[],[],[],,,,327.3077,327.3079,0.278177083,-0.181736111,0,0,0,,0,62,62,138,1,1,word,REFUSAL,print,refusal_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,327.3091,327.5063,327.5063,328.0064,,,,,,,,,,,,,,1.0903,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,64,0,328.0069,329.1075,z,1,1.0903,,[],[],[],[],[],[],[],329.1076,331.1064,331.1065,331.1066,[],[],[],[],[],[],[],,,,331.1067,331.1068,0.278177083,-0.181736111,0,0,0,,0,63,63,17,1,1,RL,menowy,cursive,menowy_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,331.1079,331.3075,331.3075,331.8074,,,,,,,,,,,,,,0.6969,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,65,0,331.808,332.5075,z,1,0.6969,,[],[],[],[],[],[],[],332.5075,334.5075,334.5076,334.5077,[],[],[],[],[],[],[],,,,334.5078,334.5079,0.278177083,-0.181736111,0,0,0,,0,64,64,54,1,1,TL,distupe,cursive,distupe_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,334.5091,334.7075,334.7075,335.2075,,,,,,,,,,,,,,0.9487,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,66,0,335.2081,336.1578,m,1,0.9487,,[],[],[],[],[],[],[],336.1578,338.1577,338.1577,338.1578,[],[],[],[],[],[],[],,,,338.1579,338.158,0.278177083,-0.181736111,0,0,0,,0,65,65,150,1,1,word,SENTIMENT,cursive,sentiment_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,338.1592,338.3568,338.3568,338.8568,,,,,,,,,,,,,,0.7867,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,67,0,338.8574,339.6578,z,1,0.7867,,[],[],[],[],[],[],[],339.6578,341.657,341.657,341.6572,[],[],[],[],[],[],[],,,,341.6573,341.6574,0.278177083,-0.181736111,0,0,0,,0,66,66,55,1,1,TL,fornute,print,fornute_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,341.6585,341.8578,341.8579,342.3578,,,,,,,,,,,,,,0.9037,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,68,0,342.3583,343.2735,z,1,0.9037,,[],[],[],[],[],[],[],343.2736,345.2745,345.2745,345.2748,[],[],[],[],[],[],[],,,,345.2749,345.2751,0.278177083,-0.181736111,0,0,0,,0,67,67,42,1,1,TL,befenit,print,befenit_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,345.2762,345.4744,345.4745,345.9745,,,,,,,,,,,,,,0.9034,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,69,0,345.9752,346.8902,m,0,0.9034,,[],[],[],[],[],[],[],346.8902,348.8906,348.8907,348.8908,[],[],[],[],[],[],[],,,,348.8908,348.891,0.278177083,-0.181736111,0,0,0,,0,68,68,65,1,1,TL,orinigal,cursive,orinigal_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,348.892,349.0913,349.0913,349.5912,,,,,,,,,,,,,,0.6718,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,70,0,349.5918,350.2738,z,1,0.6718,,[],[],[],[],[],[],[],350.2739,352.2746,352.2747,352.2749,[],[],[],[],[],[],[],,,,352.275,352.275,0.278177083,-0.181736111,0,0,0,,0,69,69,27,1,1,RL,rasibal,print,rasibal_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,352.2764,352.4746,352.4747,352.9747,,,,,,,,,,,,,,0.632,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,71,0,352.9753,353.6082,z,1,0.632,,[],[],[],[],[],[],[],353.6084,355.6081,355.6082,355.6084,[],[],[],[],[],[],[],,,,355.6085,355.6087,0.278177083,-0.181736111,0,0,0,,0,70,70,13,1,1,RL,linefal,print,linefal_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,355.6099,355.8081,355.8081,356.3081,,,,,,,,,,,,,,0.6193,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,72,1,356.3088,356.9406,z,1,0.6193,,[],[],[],[],[],[],[],356.9407,358.9406,358.9406,360.3583,[],[],[],[],[],[],[],m,1.4053,,360.3584,360.3585,0.278177083,-0.181736111,0,0,0,,0,71,71,70,1,1,TL,relugar,print,relugar_p.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,360.3598,360.5582,360.5582,361.0582,,,,,,,,,,,,,,0.8241,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,73,0,361.0587,361.8916,z,1,0.8241,,[],[],[],[],[],[],[],361.8917,363.8917,363.8917,363.8919,[],[],[],[],[],[],[],,,,363.8919,363.8922,0.278177083,-0.181736111,0,0,0,,0,72,72,76,1,1,TL,stragety,cursive,stragety_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,363.8932,364.0906,364.0907,364.5916,,,,,,,,,,,,,,0.6039,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,74,0,364.5922,365.2076,z,0,0.6039,,[],[],[],[],[],[],[],365.2077,367.2083,367.2084,367.2086,[],[],[],[],[],[],[],,,,367.2086,367.2087,0.278177083,-0.181736111,0,0,0,,0,73,73,146,1,1,word,RETIRE,cursive,retire_c.png,,,
,,,,31096,001,2025-10-19_19h07.28.808,HW_LDT_1,2024.2.4,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,367.2099,367.4073,367.4074,367.9083,,,,,,,,,,,,,,0.5536,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,75,0,367.909,368.4741,z,1,0.5536,,[],[],[],[],[],[],[],368.4742,370.4751,370.4751,370.4753,[],[],[],[],[],[],[],,,,370.4754,370.4754,0.278177083,-0.181736111,0,0,0,,0,74,74,75,1,1,TL,speficic,cursive,speficic_c.png,,,
