counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,899.7131,899.9117,899.9117,900.4108,,,,,,,,,,,,,,1.1059,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,151,0,900.4113,901.5283,z,1,1.1059,,[],[],[],[],[],[],[],901.5285,903.5284,903.5284,903.5286,[],[],[],[],[],[],[],,,,903.5286,903.5287,-0.038043002,-0.409922387,0,0,0,,0,150,150,51,1,2,TL,etidor,cursive,etidor_c.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,903.5298,903.7275,903.7275,904.2282,,,,,,,,,,,,,,1.171,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,152,0,904.2287,905.4117,m,1,1.171,,[],[],[],[],[],[],[],905.4117,907.4116,907.4116,907.4118,[],[],[],[],[],[],[],,,,907.4119,907.412,-0.038043002,-0.409922387,0,0,0,,0,151,151,85,1,2,word,BENEFIT,cursive,benefit_c.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,907.413,907.6116,907.6116,908.1116,,,,,,,,,,,,,,0.8718,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,153,1,908.112,908.995,z,1,0.8718,,[],[],[],[],[],[],[],908.9951,910.994,910.9941,912.3781,[],[],[],[],[],[],[],m,1.3833,,912.3782,912.3783,-0.038043002,-0.409922387,0,0,0,,0,152,152,22,1,2,RL,posity,print,posity_p.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,912.3792,912.5782,912.5782,913.0783,,,,,,,,,,,,,,0.7406,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,154,0,913.0788,913.8282,z,1,0.7406,,[],[],[],[],[],[],[],913.8283,915.8282,915.8283,915.8284,[],[],[],[],[],[],[],,,,915.8284,915.8285,-0.038043002,-0.409922387,0,0,0,,0,153,153,25,1,2,RL,rabigly,print,rabigly_p.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,915.8296,916.0282,916.0282,916.5282,,,,,,,,,,,,,,1.372,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,155,0,916.5287,917.9116,m,1,1.372,,[],[],[],[],[],[],[],917.9117,919.9114,919.9115,919.9117,[],[],[],[],[],[],[],,,,919.9118,919.9119,-0.038043002,-0.409922387,0,0,0,,0,154,154,124,1,2,word,NUMERICAL,cursive,numerical_c.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,919.9129,920.1115,920.1116,920.6115,,,,,,,,,,,,,,0.8717,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,156,0,920.612,921.4949,z,1,0.8717,,[],[],[],[],[],[],[],921.495,923.4948,923.4949,923.4951,[],[],[],[],[],[],[],,,,923.4952,923.4953,-0.038043002,-0.409922387,0,0,0,,0,155,155,63,1,2,TL,orinigal,print,orinigal_p.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,923.4963,923.6948,923.6949,924.1948,,,,,,,,,,,,,,0.8716,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,157,0,924.1953,925.0783,m,1,0.8716,,[],[],[],[],[],[],[],925.0783,927.0781,927.0782,927.0783,[],[],[],[],[],[],[],,,,927.0784,927.0784,-0.038043002,-0.409922387,0,0,0,,0,156,156,149,1,2,word,SENATOR,print,senator_p.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,927.0796,927.2781,927.2782,927.7781,,,,,,,,,,,,,,0.7048,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,158,0,927.7786,928.4949,m,1,0.7048,,[],[],[],[],[],[],[],928.495,930.4947,930.4948,930.495,[],[],[],[],[],[],[],,,,930.495,930.4951,-0.038043002,-0.409922387,0,0,0,,0,157,157,135,1,2,word,QUALITY,cursive,quality_c.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,930.4962,930.6947,930.6948,931.1948,,,,,,,,,,,,,,1.8905,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,159,0,931.1952,933.0948,z,1,1.8905,,[],[],[],[],[],[],[],933.095,935.0947,935.0948,935.095,[],[],[],[],[],[],[],,,,935.095,935.0951,-0.038043002,-0.409922387,0,0,0,,0,158,158,52,1,2,TL,elarobate,cursive,elarobate_c.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,935.0962,935.2948,935.2949,935.7948,,,,,,,,,,,,,,1.0482,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,160,0,935.7953,936.8447,z,1,1.0482,,[],[],[],[],[],[],[],936.8447,938.8448,938.8448,938.8451,[],[],[],[],[],[],[],,,,938.8452,938.8453,-0.038043002,-0.409922387,0,0,0,,0,159,159,75,1,2,TL,ronamtic,print,ronamtic_p.png,,,,
,,,,32294,001,2025-12-02_10h53.13.794,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.8535,943.845
