counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,130.9691,131.1684,131.1685,131.6685,,,,,,,,,,,,,,1.1865,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,11,0,131.6692,132.8688,z,1,1.1865,,[],[],[],[],[],[],[],132.8689,134.8686,134.8687,134.8689,[],[],[],[],[],[],[],,134.8689,134.8692,0.094332089,-0.190703895,0,0,0,,0,10,10,72,1,2,TL,revomal,print,revomal_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,134.8704,135.0677,135.0677,135.5687,,,,,,,,,,,,,,0.9027,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,12,0,135.5692,136.4854,z,1,0.9027,,[],[],[],[],[],[],[],136.4854,138.4845,138.4846,138.4847,[],[],[],[],[],[],[],,138.4849,138.485,0.094332089,-0.190703895,0,0,0,,0,11,11,73,1,2,TL,redisent,print,redisent_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,138.4863,138.6854,138.6855,139.1854,,,,,,,,,,,,,,2.2074,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,13,0,139.186,141.402,z,0,2.2074,,[],[],[],[],[],[],[],141.4021,143.4012,143.4012,143.4014,[],[],[],[],[],[],[],,143.4015,143.4017,0.094332089,-0.190703895,0,0,0,,0,12,12,109,1,2,word,GRATEFUL,cursive,grateful_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,143.4029,143.6022,143.6022,144.1021,,,,,,,,,,,,,,0.8542,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,14,0,144.1026,144.9689,z,1,0.8542,,[],[],[],[],[],[],[],144.9689,146.9688,146.9689,146.969,[],[],[],[],[],[],[],,146.969,146.969,0.094332089,-0.190703895,0,0,0,,0,13,13,4,1,2,RL,cenesony,print,cenesony_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,146.9701,147.1687,147.1687,147.6688,,,,,,,,,,,,,,0.8492,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,15,0,147.6693,148.5191,m,1,0.8492,,[],[],[],[],[],[],[],148.5192,150.519,150.5191,150.5193,[],[],[],[],[],[],[],,150.5194,150.5195,0.094332089,-0.190703895,0,0,0,,0,14,14,129,1,2,word,PARENT,print,parent_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,150.5209,150.7189,150.719,151.2189,,,,,,,,,,,,,,0.7154,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,16,0,151.2196,151.936,z,1,0.7154,,[],[],[],[],[],[],[],151.9362,153.9357,153.9357,153.9359,[],[],[],[],[],[],[],,153.936,153.9362,0.094332089,-0.190703895,0,0,0,,0,15,15,36,1,2,RL,vecelan,print,vecelan_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,153.9375,154.1358,154.1358,154.6357,,,,,,,,,,,,,,0.9315,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,17,0,154.6364,155.569,m,1,0.9315,,[],[],[],[],[],[],[],155.5691,157.5681,157.5682,157.5683,[],[],[],[],[],[],[],,157.5684,157.5685,0.094332089,-0.190703895,0,0,0,,0,16,16,100,1,2,word,DECADE,print,decade_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,157.5698,157.7683,157.7683,158.2691,,,,,,,,,,,,,,1.4396,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,18,0,158.2697,159.719,m,1,1.4396,,[],[],[],[],[],[],[],159.7191,161.7192,161.7193,161.7195,[],[],[],[],[],[],[],,161.7196,161.7197,0.094332089,-0.190703895,0,0,0,,0,17,17,149,1,2,word,SENATOR,print,senator_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,161.7211,161.9191,161.9193,162.4193,,,,,,,,,,,,,,2.6814,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,19,1,162.4198,165.1025,m,1,2.6814,,[],[],[],[],[],[],[],165.1026,167.1018,167.1018,168.8026,[],[],[],[],[],[],[],z,168.8027,168.8029,0.094332089,-0.190703895,0,0,0,,0,18,18,98,1,2,word,CRIMINAL,cursive,criminal_c.png,1.6988,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,168.8042,169.0027,169.0027,169.5023,,,,,,,,,,,,,,2.6651,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,20,0,169.503,172.1692,z,1,2.6651,,[],[],[],[],[],[],[],172.1693,174.1694,174.1695,174.1696,[],[],[],[],[],[],[],,174.1697,174.1698,0.094332089,-0.190703895,0,0,0,,0,19,19,70,1,2,TL,retalive,print,retalive_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,174.1709,174.3694,174.3695,174.8695,,,,,,,,,,,,,,3.0207,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,21,0,174.8701,177.9029,m,1,3.0207,,[],[],[],[],[],[],[],177.9029,179.9028,179.9029,179.9032,[],[],[],[],[],[],[],,179.9032,179.9034,0.094332089,-0.190703895,0,0,0,,0,20,20,145,1,2,word,RESUME,cursive,resume_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,179.9048,180.103,180.103,180.6028,,,,,,,,,,,,,,0.8526,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,22,0,180.6033,181.4696,m,1,0.8526,,[],[],[],[],[],[],[],181.4697,183.4695,183.4696,183.4697,[],[],[],[],[],[],[],,183.4697,183.4698,0.094332089,-0.190703895,0,0,0,,0,21,21,87,1,2,word,CAFETERIA,print,cafeteria_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,183.4709,183.6695,183.6697,184.1697,,,,,,,,,,,,,,2.1029,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,23,0,184.1702,186.2863,z,0,2.1029,,[],[],[],[],[],[],[],186.2864,188.2864,188.2865,188.2867,[],[],[],[],[],[],[],,188.2867,188.2869,0.094332089,-0.190703895,0,0,0,,0,22,22,120,1,2,word,MILITARY,cursive,military_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,188.2883,188.4864,188.4865,188.9863,,,,,,,,,,,,,,3.9822,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,24,0,188.9868,192.9697,z,1,3.9822,,[],[],[],[],[],[],[],192.9698,194.9699,194.97,194.9702,[],[],[],[],[],[],[],,194.9702,194.9704,0.094332089,-0.190703895,0,0,0,,0,23,23,67,1,2,TL,quafily,cursive,quafily_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,194.9719,195.1699,195.1699,195.6698,,,,,,,,,,,,,,0.8531,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,25,0,195.6704,196.5364,m,1,0.8531,,[],[],[],[],[],[],[],196.5365,198.5367,198.5367,198.5369,[],[],[],[],[],[],[],,198.5369,198.537,0.094332089,-0.190703895,0,0,0,,0,24,24,83,1,2,word,ANIMAL,print,animal_p.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,198.5379,198.7356,198.7356,199.2365,,,,,,,,,,,,,,2.1543,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,26,0,199.2372,201.4034,z,1,2.1543,,[],[],[],[],[],[],[],201.4035,203.4032,203.4033,203.4035,[],[],[],[],[],[],[],,203.4036,203.4038,0.094332089,-0.190703895,0,0,0,,0,25,25,28,1,2,RL,revune,cursive,revune_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,203.4051,203.6029,203.6029,204.1033,,,,,,,,,,,,,,1.7393,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,27,0,204.104,205.8535,m,1,1.7393,,[],[],[],[],[],[],[],205.8536,207.8535,207.8536,207.8539,[],[],[],[],[],[],[],,207.8539,207.8541,0.094332089,-0.190703895,0,0,0,,0,26,26,107,1,2,word,EVIDENT,cursive,evident_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,207.8554,208.0534,208.0534,208.5532,,,,,,,,,,,,,,1.2207,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,28,0,208.5535,209.7858,m,1,1.2207,,[],[],[],[],[],[],[],209.7858,211.7869,211.7869,211.7871,[],[],[],[],[],[],[],,211.7872,211.7873,0.094332089,-0.190703895,0,0,0,,0,27,27,97,1,2,word,COVERAGE,cursive,coverage_c.png,,,,,
,,,,31947,001,2025-10-26_18h49.20.093,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,211.7888,211.9869,211.9869,212.4868,,,,,,,,,,,,,,3.5142,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,29,0,212.4874,216.0032,z,0,3.5142,,[],[],[],[],[],[],[],216.0033,218.0025,218.0026,218.0027,[],[],[],[],[],[],[],,218.0027,218.0028,0.094332089,-0.190703895,0,0,0,,0,28,28,138,1,2,word,REFUSAL,cursive,refusal_c.png,,,,,
