counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,466.4321,466.631,466.631,467.131,,,,,,,,,,,,,,1.0823,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,86,0,467.1315,468.2145,z,1,1.0823,,[],[],[],[],[],[],[],468.2147,470.2133,470.2134,470.2136,[],[],[],[],[],[],[],,,,470.2136,470.2137,0.408866347,-0.019063523,0,0,0,,0,85,85,78,1,3,TL,vecolity,cursive,vecolity_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,470.2147,470.4142,470.4142,470.9143,,,,,,,,,,,,,,4.3214,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,87,1,470.9148,475.2476,m,1,4.3214,,[],[],[],[],[],[],[],475.2477,477.2476,477.2477,478.6979,[],[],[],[],[],[],[],m,1.44,,478.698,478.698,0.408866347,-0.019063523,0,0,0,,0,86,86,118,1,3,word,MEDICINE,print,medicine_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,478.6991,478.8976,478.8977,479.3976,,,,,,,,,,,,,,2.2379,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,88,0,479.3981,481.6477,z,1,2.2379,,[],[],[],[],[],[],[],481.6478,483.6476,483.6476,483.6478,[],[],[],[],[],[],[],,,,483.6478,483.6479,0.408866347,-0.019063523,0,0,0,,0,87,87,48,1,3,TL,grafetul,cursive,grafetul_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,483.6488,483.8476,483.8477,484.3476,,,,,,,,,,,,,,0.7728,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,89,0,484.3481,485.1311,z,1,0.7728,,[],[],[],[],[],[],[],485.1311,487.131,487.131,487.1311,[],[],[],[],[],[],[],,,,487.1311,487.1312,0.408866347,-0.019063523,0,0,0,,0,88,88,3,1,3,RL,bebine,cursive,bebine_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,487.1323,487.3309,487.3309,487.8309,,,,,,,,,,,,,,1.8713,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,90,0,487.8314,489.7143,m,1,1.8713,,[],[],[],[],[],[],[],489.7145,491.7143,491.7143,491.7145,[],[],[],[],[],[],[],,,,491.7145,491.7146,0.408866347,-0.019063523,0,0,0,,0,89,89,105,1,3,word,EDITOR,print,editor_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,491.7155,491.9141,491.9142,492.4142,,,,,,,,,,,,,,0.6966,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,91,0,492.4148,493.1141,z,1,0.6966,,[],[],[],[],[],[],[],493.1143,495.1143,495.1144,495.1145,[],[],[],[],[],[],[],,,,495.1145,495.1146,0.408866347,-0.019063523,0,0,0,,0,90,90,69,1,3,TL,redisent,cursive,redisent_c.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,495.1156,495.3143,495.3143,495.814,,,,,,,,,,,,,,0.6887,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,92,0,495.8144,496.5143,m,1,0.6887,,[],[],[],[],[],[],[],496.5144,498.5142,498.5143,498.5144,[],[],[],[],[],[],[],,,,498.5144,498.5146,0.408866347,-0.019063523,0,0,0,,0,91,91,97,1,3,word,COVERAGE,print,coverage_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,498.5156,498.7143,498.7143,499.2142,,,,,,,,,,,,,,1.4314,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,93,0,499.2148,500.6473,z,0,1.4314,,[],[],[],[],[],[],[],500.6473,502.6476,502.6476,502.6478,[],[],[],[],[],[],[],,,,502.6478,502.6478,0.408866347,-0.019063523,0,0,0,,0,92,92,113,1,3,word,LITERAL,print,literal_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,502.6489,502.8476,502.8476,503.3475,,,,,,,,,,,,,,0.888,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,94,0,503.3481,504.2477,m,1,0.888,,[],[],[],[],[],[],[],504.2478,506.2476,506.2476,506.2478,[],[],[],[],[],[],[],,,,506.2478,506.2479,0.408866347,-0.019063523,0,0,0,,0,93,93,135,1,3,word,QUALITY,print,quality_p.png,,,,
,,,,31879,001,2025-10-19_22h05.46.076,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,506.2489,506.4475,506.4476,506.9475,,,,,,,,,,,,,,1.3381,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,95,0,506.9481,508.2977,z,0,1.3381,,[],[],[],[],[],[],[],508.2978,510.2967,510.2967,510.2969,[],[],[],[],[],[],[],,,,510.297,510.297,0.408866347,-0.019063523,0,0,0,,0,94,94,157,1,3,word,VALIDITY,cursive,validity_c.png,,,,
