counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,735.792,735.99,735.99,736.49,,,,,,,,,,,,,,1.753,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,113,0,736.491,738.246,m,0,1.753,,[],[],[],[],[],[],[],738.246,740.24,740.24,740.24,[],[],[],[],[],[],[],,740.24,740.241,-0.833562586,0.501375516,0,0,0,,0,112,112,60,1,4,TL,hetirage,print,hetirage_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,740.241,740.44,740.44,740.94,,,,,,,,,,,,,,1.119,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,114,0,740.94,742.062,z,1,1.119,,[],[],[],[],[],[],[],742.062,744.057,744.057,744.057,[],[],[],[],[],[],[],,744.057,744.057,-0.833562586,0.501375516,0,0,0,,0,113,113,63,1,4,TL,miskate,print,miskate_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,744.058,744.257,744.257,744.757,,,,,,,,,,,,,,0.818,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,115,0,744.757,745.579,z,1,0.818,,[],[],[],[],[],[],[],745.579,747.574,747.574,747.574,[],[],[],[],[],[],[],,747.574,747.574,-0.833562586,0.501375516,0,0,0,,0,114,114,1,1,4,RL,afaneur,cursive,afaneur_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,747.575,747.774,747.774,748.274,,,,,,,,,,,,,,1.403,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,116,0,748.274,749.68,m,1,1.403,,[],[],[],[],[],[],[],749.68,751.674,751.674,751.674,[],[],[],[],[],[],[],,751.674,751.674,-0.833562586,0.501375516,0,0,0,,0,115,115,146,1,4,word,RETIRE,print,retire_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,751.675,751.874,751.874,752.374,,,,,,,,,,,,,,0.836,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,117,0,752.374,753.213,z,1,0.836,,[],[],[],[],[],[],[],753.213,755.207,755.207,755.208,[],[],[],[],[],[],[],,755.208,755.208,-0.833562586,0.501375516,0,0,0,,0,116,116,61,1,4,TL,lotace,cursive,lotace_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,755.209,755.407,755.407,755.907,,,,,,,,,,,,,,2.97,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,118,0,755.907,758.88,z,1,2.97,,[],[],[],[],[],[],[],758.88,760.874,760.874,760.874,[],[],[],[],[],[],[],,760.874,760.874,-0.833562586,0.501375516,0,0,0,,0,117,117,33,1,4,RL,pamest,cursive,pamest_c.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,760.875,761.074,761.074,761.574,,,,,,,,,,,,,,1.672,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,119,1,761.574,763.248,z,0,1.672,,[],[],[],[],[],[],[],763.248,765.241,765.241,766.045,[],[],[],[],[],[],[],z,766.045,766.046,-0.833562586,0.501375516,0,0,0,,0,118,118,98,1,4,word,CRIMINAL,cursive,criminal_c.png,0.802,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,766.046,766.241,766.241,766.741,,,,,,,,,,,,,,1.519,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,120,0,766.741,768.262,z,1,1.519,,[],[],[],[],[],[],[],768.263,770.257,770.257,770.258,[],[],[],[],[],[],[],,770.258,770.258,-0.833562586,0.501375516,0,0,0,,0,119,119,64,1,4,TL,moredate,print,moredate_p.png,,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,770.258,770.457,770.457,770.957,,,,,,,,,,,,,,0.819,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,121,1,770.958,771.779,m,1,0.819,,[],[],[],[],[],[],[],771.779,773.774,773.774,774.663,[],[],[],[],[],[],[],m,774.663,774.663,-0.833562586,0.501375516,0,0,0,,0,120,120,115,1,4,word,LOGICAL,print,logical_p.png,0.887,,,,,
,,,,31855,001,2025-10-16_10h29.00.376,HW_LDT_1,2024.2.4,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,774.664,774.857,774.858,775.358,,,,,,,,,,,,,,1.536,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,122,1,775.358,776.897,m,1,1.536,,[],[],[],[],[],[],[],776.897,778.891,778.891,779.631,[],[],[],[],[],[],[],m,779.631,779.631,-0.833562586,0.501375516,0,0,0,,0,121,121,111,1,4,word,INDICATE,print,indicate_p.png,0.738,,,,,
