counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,925.2237,925.4223,925.4223,925.9224,,,,,,,,,,,,,,4.3032,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,149,0,925.9229,930.2391,z,0,4.3032,,[],[],[],[],[],[],[],930.2393,932.2392,932.2392,932.2393,[],[],[],[],[],[],[],,932.2393,932.2395,-0.01773327,-0.400252482,0,0,0,,0,148,148,123,1,3,word,MODERATE,cursive,moderate_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,932.2405,932.439,932.4391,932.939,,,,,,,,,,,,,,3.5301,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,150,0,932.9395,936.4722,z,1,3.5301,,[],[],[],[],[],[],[],936.4724,938.4714,938.4714,938.4716,[],[],[],[],[],[],[],,938.4716,938.4718,-0.01773327,-0.400252482,0,0,0,,0,149,149,14,1,3,RL,lofase,cursive,lofase_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,938.4729,938.6714,938.6715,939.1724,,,,,,,,,,,,,,2.4039,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,151,0,939.1728,941.5891,z,0,2.4039,,[],[],[],[],[],[],[],941.5891,943.5881,943.5881,943.5882,[],[],[],[],[],[],[],,943.5883,943.5884,-0.01773327,-0.400252482,0,0,0,,0,150,150,120,1,3,word,MILITARY,cursive,military_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,943.5894,943.7889,943.789,944.2879,,,,,,,,,,,,,,2.1719,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,152,1,944.2885,946.4724,z,1,2.1719,,[],[],[],[],[],[],[],946.4725,948.4722,948.4723,949.5388,[],[],[],[],[],[],[],m,949.5389,949.539,-0.01773327,-0.400252482,0,0,0,,0,151,151,57,1,3,TL,moredate,cursive,moredate_c.png,1.0649,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,949.5399,949.7381,949.7381,950.2389,,,,,,,,,,,,,,4.1363,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,153,0,950.2394,954.389,z,0,4.1363,,[],[],[],[],[],[],[],954.3891,956.3889,956.389,956.3892,[],[],[],[],[],[],[],,956.3892,956.3893,-0.01773327,-0.400252482,0,0,0,,0,152,152,153,1,3,word,STOLEN,cursive,stolen_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,956.3904,956.5881,956.5881,957.0879,,,,,,,,,,,,,,1.4984,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,154,0,957.0884,958.588,z,1,1.4984,,[],[],[],[],[],[],[],958.588,960.5886,960.5887,960.5889,[],[],[],[],[],[],[],,960.589,960.589,-0.01773327,-0.400252482,0,0,0,,0,153,153,67,1,3,TL,retome,print,retome_p.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,960.59,960.789,960.7891,961.2889,,,,,,,,,,,,,,3.5875,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,155,0,961.2893,964.8882,m,1,3.5875,,[],[],[],[],[],[],[],964.8883,966.8889,966.8889,966.889,[],[],[],[],[],[],[],,966.8891,966.8892,-0.01773327,-0.400252482,0,0,0,,0,154,154,130,1,3,word,POLICY,print,policy_p.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,966.8902,967.0889,967.0889,967.5889,,,,,,,,,,,,,,2.0477,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,156,0,967.5894,969.6381,z,1,2.0477,,[],[],[],[],[],[],[],969.6381,971.6389,971.639,971.6392,[],[],[],[],[],[],[],,971.6393,971.6393,-0.01773327,-0.400252482,0,0,0,,0,155,155,19,1,3,RL,opcifal,cursive,opcifal_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,971.6404,971.8389,971.8389,972.339,,,,,,,,,,,,,,2.1646,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,157,0,972.3394,974.5056,z,1,2.1646,,[],[],[],[],[],[],[],974.5056,976.5047,976.5048,976.5049,[],[],[],[],[],[],[],,976.5049,976.505,-0.01773327,-0.400252482,0,0,0,,0,156,156,6,1,3,RL,cenesony,cursive,cenesony_c.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,976.5062,976.7055,976.7056,977.2055,,,,,,,,,,,,,,2.6702,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,158,0,977.206,979.8891,m,1,2.6702,,[],[],[],[],[],[],[],979.8891,981.888,981.888,981.8881,[],[],[],[],[],[],[],,981.8882,981.8882,-0.01773327,-0.400252482,0,0,0,,0,157,157,116,1,3,word,MARGINAL,print,marginal_p.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,981.8893,982.0888,982.0888,982.5889,,,,,,,,,,,,,,1.6303,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,159,1,982.5893,984.2221,z,1,1.6303,,[],[],[],[],[],[],[],984.2223,986.2213,986.2213,987.8379,[],[],[],[],[],[],[],z,987.838,987.8381,-0.01773327,-0.400252482,0,0,0,,0,158,158,37,1,3,TL,cacapity,cursive,cacapity_c.png,1.6127,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,987.8391,988.0388,988.0389,988.538,,,,,,,,,,,,,,2.2716,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,160,0,988.5386,990.8222,m,1,2.2716,,[],[],[],[],[],[],[],990.8223,992.8212,992.8213,992.8215,[],[],[],[],[],[],[],,992.8215,992.8215,-0.01773327,-0.400252482,0,0,0,,0,159,159,124,1,3,word,NUMERICAL,print,numerical_p.png,,,,,
,,,,32377,001,2025-12-07_22h30.30.145,HW_LDT_1,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.8285,997.8216
