counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,654.3233,654.5152,654.5153,655.0159,,,,,,,,,,,,0.8888,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,112,0,655.0166,655.9156,m,1,0.8888,,[],[],[],[],[],[],[],655.9157,657.9163,657.9164,657.9168,[],[],[],[],[],[],[],,657.9168,657.9169,0.015698785,-0.393919271,0,0,1,,0,111,111,114,1,1,word,LOCATE,print,locate_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,657.9184,658.1154,658.1155,658.6148,,,,,,,,,,,,1.0441,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,113,0,658.6154,659.6645,z,1,1.0441,,[],[],[],[],[],[],[],659.6645,661.6644,661.6645,661.6647,[],[],[],[],[],[],[],,661.6648,661.6649,0.015698785,-0.393919271,0,0,1,,0,112,112,3,1,1,RL,casena,cursive,casena_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,661.6664,661.863,661.863,662.3629,,,,,,,,,,,,1.2576,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,114,0,662.3637,663.6302,z,1,1.2576,,[],[],[],[],[],[],[],663.6303,665.6314,665.6314,665.6317,[],[],[],[],[],[],[],,665.6317,665.6319,0.015698785,-0.393919271,0,0,1,,0,113,113,0,1,1,RL,abanemy,cursive,abanemy_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,665.6426,665.8333,665.8333,666.3322,,,,,,,,,,,,2.1247,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,115,0,666.3329,668.4661,z,1,2.1247,,[],[],[],[],[],[],[],668.4662,670.4646,670.4647,670.4651,[],[],[],[],[],[],[],,670.4651,670.4653,0.015698785,-0.393919271,0,0,1,,0,114,114,25,1,1,RL,quakity,cursive,quakity_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,670.4768,670.6625,670.6626,671.1631,,,,,,,,,,,,0.7574,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,116,0,671.1637,671.9332,m,1,0.7574,,[],[],[],[],[],[],[],671.9333,673.9303,673.9303,673.9306,[],[],[],[],[],[],[],,673.9307,673.9308,0.015698785,-0.393919271,0,0,1,,0,115,115,142,1,1,word,REMOTE,print,remote_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,673.9325,674.1307,674.1309,674.63,,,,,,,,,,,,1.1131,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,117,1,674.6306,675.7461,m,1,1.1131,,[],[],[],[],[],[],[],675.7462,677.7479,677.7479,678.8465,[],[],[],[],[],[],[],z,678.8467,678.847,0.015698785,-0.393919271,0,0,1,,0,116,116,112,1,1,word,LIBERAL,cursive,liberal_c.png,1.0905,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,678.8579,679.0478,679.0478,679.5474,,,,,,,,,,,,1.424,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,118,1,679.548,680.98,m,1,1.424,,[],[],[],[],[],[],[],680.9801,682.9806,682.9807,685.5643,[],[],[],[],[],[],[],z,685.5644,685.5646,0.015698785,-0.393919271,0,0,1,,0,117,117,131,1,1,word,POPULAR,cursive,popular_c.png,2.5756,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,685.5757,685.765,685.7651,686.2641,,,,,,,,,,,,0.9741,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,119,1,686.2648,687.2492,z,1,0.9741,,[],[],[],[],[],[],[],687.2494,689.2501,689.2501,696.3471,[],[],[],[],[],[],[],z,696.3473,696.3474,0.015698785,-0.393919271,0,0,1,,0,118,118,42,1,1,TL,befenit,print,befenit_p.png,7.0891,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,696.3585,696.5478,696.5478,697.0478,,,,,,,,,,,,1.9228,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,120,0,697.0484,698.9826,z,1,1.9228,,[],[],[],[],[],[],[],698.9826,700.9813,700.9814,700.9816,[],[],[],[],[],[],[],,700.9816,700.9818,0.015698785,-0.393919271,0,0,1,,0,119,119,61,1,1,TL,mecidine,cursive,mecidine_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,700.9929,701.18,701.18,701.68,,,,,,,,,,,,2.6582,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,121,0,701.6809,704.3466,z,1,2.6582,,[],[],[],[],[],[],[],704.3466,706.35,706.35,706.3503,[],[],[],[],[],[],[],,706.3504,706.3505,0.015698785,-0.393919271,0,0,1,,0,120,120,69,1,1,TL,radiply,cursive,radiply_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,706.3627,706.5485,706.5486,707.0465,,,,,,,,,,,,6.2089,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,122,0,707.0471,713.2633,m,1,6.2089,,[],[],[],[],[],[],[],713.2634,715.2641,715.2641,715.2643,[],[],[],[],[],[],[],,715.2644,715.2645,0.015698785,-0.393919271,0,0,1,,0,121,121,134,1,1,word,QUALIFY,cursive,qualify_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,715.2758,715.4666,715.4667,715.9634,,,,,,,,,,,,1.0921,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,123,0,715.964,717.0648,m,1,1.0921,,[],[],[],[],[],[],[],717.0649,719.0627,719.0627,719.0632,[],[],[],[],[],[],[],,719.0633,719.0634,0.015698785,-0.393919271,0,0,1,,0,122,122,104,1,1,word,DOMINANT,cursive,dominant_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,719.0648,719.2634,719.2634,719.7639,,,,,,,,,,,,0.9902,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,124,0,719.7645,720.767,z,0,0.9902,,[],[],[],[],[],[],[],720.7672,722.7647,722.7647,722.7649,[],[],[],[],[],[],[],,722.7651,722.7652,0.015698785,-0.393919271,0,0,1,,0,123,123,146,1,1,word,RETIRE,cursive,retire_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,722.7665,722.9647,722.9648,723.4638,,,,,,,,,,,,0.9301,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,125,1,723.4647,724.3968,m,1,0.9301,,[],[],[],[],[],[],[],724.3968,726.3986,726.3986,728.6993,[],[],[],[],[],[],[],z,728.6994,728.6996,0.015698785,-0.393919271,0,0,1,,0,124,124,92,1,1,word,CATEGORY,print,category_p.png,2.2963,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,728.71,728.8974,728.8974,729.3999,,,,,,,,,,,,1.772,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,126,0,729.4005,731.1825,m,1,1.772,,[],[],[],[],[],[],[],731.1826,733.183,733.183,733.1831,[],[],[],[],[],[],[],,733.1831,733.1832,0.015698785,-0.393919271,0,0,1,,0,125,125,143,1,1,word,REMOVAL,cursive,removal_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,733.1836,733.3816,733.3817,733.8835,,,,,,,,,,,,0.9551,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,127,0,733.8841,734.8484,z,1,0.9551,,[],[],[],[],[],[],[],734.8485,736.8483,736.8483,736.8485,[],[],[],[],[],[],[],,736.8485,736.8487,0.015698785,-0.393919271,0,0,1,,0,126,126,31,1,1,RL,reconal,cursive,reconal_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,736.8499,737.0469,737.047,737.549,,,,,,,,,,,,0.9238,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,128,1,737.5497,738.4831,z,0,0.9238,,[],[],[],[],[],[],[],738.4832,740.483,740.4831,741.7803,[],[],[],[],[],[],[],z,741.7804,741.7805,0.015698785,-0.393919271,0,0,1,,0,127,127,87,1,1,word,CAFETERIA,cursive,cafeteria_c.png,1.2905,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,741.7917,741.9803,741.9803,742.4823,,,,,,,,,,,,1.8726,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,129,0,742.483,744.3637,m,1,1.8726,,[],[],[],[],[],[],[],744.3638,746.3636,746.3637,746.364,[],[],[],[],[],[],[],,746.364,746.3641,0.015698785,-0.393919271,0,0,1,,0,128,128,137,1,1,word,RAPIDLY,cursive,rapidly_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,746.3746,746.5636,746.5637,747.0651,,,,,,,,,,,,0.8423,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,130,0,747.0657,747.9159,z,1,0.8423,,[],[],[],[],[],[],[],747.916,749.9149,749.915,749.9152,[],[],[],[],[],[],[],,749.9153,749.9154,0.015698785,-0.393919271,0,0,1,,0,129,129,55,1,1,TL,fornute,print,fornute_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,749.9264,750.117,750.117,750.6146,,,,,,,,,,,,0.8411,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,131,0,750.6152,751.4667,m,1,0.8411,,[],[],[],[],[],[],[],751.4668,753.465,753.4651,753.4652,[],[],[],[],[],[],[],,753.4654,753.4655,0.015698785,-0.393919271,0,0,1,,0,130,130,95,1,1,word,COMEDY,cursive,comedy_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,753.4762,753.6637,753.6637,754.1646,,,,,,,,,,,,1.2786,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,132,0,754.1652,755.4494,m,1,1.2786,,[],[],[],[],[],[],[],755.4495,757.4497,757.4498,757.4501,[],[],[],[],[],[],[],,757.4501,757.4502,0.015698785,-0.393919271,0,0,1,,0,131,131,107,1,1,word,EVIDENT,print,evident_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,757.4607,757.648,757.648,758.1495,,,,,,,,,,,,0.8225,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,133,0,758.1502,758.9817,z,1,0.8225,,[],[],[],[],[],[],[],758.9817,760.9836,760.9837,760.9839,[],[],[],[],[],[],[],,760.9839,760.984,0.015698785,-0.393919271,0,0,1,,0,132,132,37,1,1,RL,skofen,print,skofen_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,760.9854,761.1825,761.1826,761.6804,,,,,,,,,,,,5.3639,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,134,0,761.6809,767.0465,z,1,5.3639,,[],[],[],[],[],[],[],767.0467,769.0481,769.0482,769.0485,[],[],[],[],[],[],[],,769.0486,769.0487,0.015698785,-0.393919271,0,0,1,,0,133,133,49,1,1,TL,clicinal,cursive,clicinal_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,769.0599,769.2473,769.2473,769.7482,,,,,,,,,,,,0.9639,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,135,0,769.7488,770.7148,z,1,0.9639,,[],[],[],[],[],[],[],770.7152,772.7138,772.7139,772.7141,[],[],[],[],[],[],[],,772.7142,772.7143,0.015698785,-0.393919271,0,0,1,,0,134,134,43,1,1,TL,bedise,print,bedise_p.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,772.7157,772.9152,772.9152,773.4146,,,,,,,,,,,,1.341,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,136,1,773.4152,774.766,m,1,1.341,,[],[],[],[],[],[],[],774.7662,776.7637,776.7637,777.9815,[],[],[],[],[],[],[],z,777.9815,777.9817,0.015698785,-0.393919271,0,0,1,,0,135,135,81,1,1,word,ADVISORY,cursive,advisory_c.png,1.2099,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,777.9904,778.182,778.182,778.6821,,,,,,,,,,,,1.8594,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,137,0,778.6828,780.5503,z,0,1.8594,,[],[],[],[],[],[],[],780.5504,782.5473,782.5473,782.5476,[],[],[],[],[],[],[],,782.5476,782.5478,0.015698785,-0.393919271,0,0,1,,0,136,136,118,1,1,word,MEDICINE,cursive,medicine_c.png,,,,,,
,,,,32075,001,2025-12-03_24h44.10.284,HW_LDT_1,2024.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,782.5594,782.7482,782.7484,783.249,,,,,,,,,,,,1.34,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,138,0,783.2497,784.598,z,1,1.34,,[],[],[],[],[],[],[],784.598,786.5997,786.5998,786.6002,[],[],[],[],[],[],[],,786.6003,786.6005,0.015698785,-0.393919271,0,0,1,,0,137,137,59,1,1,TL,lirebal,cursive,lirebal_c.png,,,,,,
