counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,365.2637,365.4623,365.4623,365.9622,,,,,,,,,,,,,,2.239,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,62,0,365.9628,368.2123,z,1,2.239,,[],[],[],[],[],[],[],368.2125,370.2116,370.2116,370.2118,[],[],[],[],[],[],[],,370.2119,370.2119,0.036712903,-0.279897977,0,0,0,,0,61,61,24,1,4,RL,marmipal,cursive,marmipal_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,370.213,370.4122,370.4123,370.9123,,,,,,,,,,,,,,1.4657,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,63,0,370.9128,372.3791,z,1,1.4657,,[],[],[],[],[],[],[],372.3792,374.379,374.379,374.3792,[],[],[],[],[],[],[],,374.3792,374.3793,0.036712903,-0.279897977,0,0,0,,0,62,62,73,1,4,TL,regilion,print,regilion_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,374.3802,374.579,374.5791,375.0789,,,,,,,,,,,,,,1.0551,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,64,0,375.0794,376.1457,z,1,1.0551,,[],[],[],[],[],[],[],376.1458,378.1456,378.1457,378.1458,[],[],[],[],[],[],[],,378.1458,378.1459,0.036712903,-0.279897977,0,0,0,,0,63,63,79,1,4,TL,tritube,print,tritube_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,378.147,378.3456,378.3456,378.8456,,,,,,,,,,,,,,0.8883,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,65,0,378.8462,379.7458,z,1,0.8883,,[],[],[],[],[],[],[],379.7458,381.7456,381.7456,381.7458,[],[],[],[],[],[],[],,381.7459,381.7459,0.036712903,-0.279897977,0,0,0,,0,64,64,30,1,4,RL,nunewical,cursive,nunewical_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,381.7469,381.9456,381.9456,382.4455,,,,,,,,,,,,,,1.107,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,66,0,382.446,383.5622,z,1,1.107,,[],[],[],[],[],[],[],383.5622,385.5623,385.5624,385.5625,[],[],[],[],[],[],[],,385.5626,385.5626,0.036712903,-0.279897977,0,0,0,,0,65,65,36,1,4,RL,rabigly,cursive,rabigly_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,385.5637,385.7623,385.7623,386.2623,,,,,,,,,,,,,,1.032,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,67,0,386.2627,387.2955,z,1,1.032,,[],[],[],[],[],[],[],387.2956,389.2955,389.2955,389.2957,[],[],[],[],[],[],[],,389.2957,389.2958,0.036712903,-0.279897977,0,0,0,,0,66,66,27,1,4,RL,menowy,print,menowy_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,389.2968,389.4956,389.4957,389.9956,,,,,,,,,,,,,,2.2419,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,68,0,389.9961,392.2456,z,1,2.2419,,[],[],[],[],[],[],[],392.2456,394.2456,394.2457,394.2458,[],[],[],[],[],[],[],,394.2458,394.2459,0.036712903,-0.279897977,0,0,0,,0,67,67,14,1,4,RL,delahe,cursive,delahe_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,394.2469,394.4456,394.4456,394.9455,,,,,,,,,,,,,,1.1216,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,69,0,394.946,396.079,m,1,1.1216,,[],[],[],[],[],[],[],396.0791,398.0789,398.0789,398.0792,[],[],[],[],[],[],[],,398.0792,398.0793,0.036712903,-0.279897977,0,0,0,,0,68,68,133,1,4,word,PROVIDE,cursive,provide_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,398.0804,398.2789,398.279,398.7789,,,,,,,,,,,,,,1.0715,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,70,1,398.7795,399.8623,m,1,1.0715,,[],[],[],[],[],[],[],399.8624,401.8622,401.8623,403.279,[],[],[],[],[],[],[],z,403.2791,403.2791,0.036712903,-0.279897977,0,0,0,,0,69,69,97,1,4,word,COVERAGE,cursive,coverage_c.png,1.4069,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,403.2802,403.4789,403.4789,403.9789,,,,,,,,,,,,,,1.5218,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,71,0,403.9794,405.5123,z,0,1.5218,,[],[],[],[],[],[],[],405.5124,407.5122,407.5123,407.5124,[],[],[],[],[],[],[],,407.5125,407.5126,0.036712903,-0.279897977,0,0,0,,0,70,70,98,1,4,word,CRIMINAL,cursive,criminal_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,407.5136,407.7123,407.7123,408.2122,,,,,,,,,,,,,,1.8551,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,72,0,408.2127,410.0789,z,1,1.8551,,[],[],[],[],[],[],[],410.079,412.0789,412.079,412.0791,[],[],[],[],[],[],[],,412.0791,412.0792,0.036712903,-0.279897977,0,0,0,,0,71,71,72,1,4,TL,relugar,cursive,relugar_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,412.0803,412.279,412.279,412.7789,,,,,,,,,,,,,,1.0565,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,73,0,412.7794,413.8456,m,1,1.0565,,[],[],[],[],[],[],[],413.8457,415.8456,415.8456,415.8458,[],[],[],[],[],[],[],,415.8458,415.8459,0.036712903,-0.279897977,0,0,0,,0,72,72,139,1,4,word,REGULAR,cursive,regular_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,415.8469,416.0454,416.0455,416.5455,,,,,,,,,,,,,,2.5489,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,74,0,416.5461,419.0957,z,1,2.5489,,[],[],[],[],[],[],[],419.0958,421.0955,421.0956,421.0958,[],[],[],[],[],[],[],,421.0958,421.0959,0.036712903,-0.279897977,0,0,0,,0,73,73,55,1,4,TL,corevage,cursive,corevage_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,421.0969,421.2955,421.2955,421.7956,,,,,,,,,,,,,,1.8626,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,75,0,421.7961,423.6621,z,0,1.8626,,[],[],[],[],[],[],[],423.6622,425.6622,425.6623,425.6624,[],[],[],[],[],[],[],,425.6624,425.6626,0.036712903,-0.279897977,0,0,0,,0,74,74,113,1,4,word,LITERAL,cursive,literal_c.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,425.6637,425.8622,425.8623,426.3621,,,,,,,,,,,,,,1.0719,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,76,0,426.3628,427.4457,m,1,1.0719,,[],[],[],[],[],[],[],427.4458,429.4454,429.4456,429.4457,[],[],[],[],[],[],[],,429.4457,429.4459,0.036712903,-0.279897977,0,0,0,,0,75,75,157,1,4,word,VALIDITY,print,validity_p.png,,,,,
,,,,32034,001,2025-10-16_21h19.19.033,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,429.447,429.6455,429.6456,430.1455,,,,,,,,,,,,,,1.6553,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,77,0,430.146,431.8122,z,1,1.6553,,[],[],[],[],[],[],[],431.8124,433.8121,433.8122,433.8124,[],[],[],[],[],[],[],,433.8124,433.8125,0.036712903,-0.279897977,0,0,0,,0,76,76,64,1,4,TL,moredate,print,moredate_p.png,,,,,
