counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,98.3652,98.5644,98.5645,99.0643,99.0654,99.9726,z,1,0.8987,,[],[],[],[],[],[],[],0.8987,1,99.9728,100.4724,0,5,5,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,100.4733,100.6725,100.6727,101.1726,101.1735,102.28,z,1,1.0949,,[],[],[],[],[],[],[],1.0949,1,102.2802,102.781,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,102.7823,102.9798,102.9799,103.4804,103.4814,104.2642,m,1,0.7697,,[],[],[],[],[],[],[],0.7697,1,104.2643,104.7596,0,7,7,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,104.7613,104.9593,104.9593,105.4592,105.4601,106.1216,m,1,0.6518,,[],[],[],[],[],[],[],0.6518,1,106.1216,106.6205,0,8,8,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,106.6217,106.8215,106.8216,107.3217,107.323,108.2392,z,1,0.9056,,[],[],[],[],[],[],[],0.9056,1,108.2392,108.735,0,9,9,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,108.7364,108.9307,108.9308,109.4297,109.4307,110.4224,z,1,0.9832,,[],[],[],[],[],[],[],0.9832,1,110.4226,110.9216,0,10,10,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,110.9223,111.1226,111.1227,111.6223,111.6228,112.456,z,1,0.8201,,[],[],[],[],[],[],[],0.8201,1,112.4561,112.956,0,11,11,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,112.9577,113.1558,113.1558,113.6535,113.6543,114.3262,m,1,0.6603,,[],[],[],[],[],[],[],0.6603,1,114.3263,114.8255,0,12,12,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,114.8269,115.0256,115.0257,115.5258,115.5268,116.2178,m,1,0.6827,,[],[],[],[],[],[],[],0.6827,1,116.2178,116.7182,0,13,13,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,116.7195,116.918,116.9182,117.418,117.4185,118.1266,z,1,0.6967,,[],[],[],[],[],[],[],0.6967,1,118.1267,118.6258,0,14,14,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,118.6271,118.8268,118.8269,119.3265,119.3271,120.0683,m,1,0.7292,,[],[],[],[],[],[],[],0.7292,1,120.0684,120.5683,0,15,15,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.5734,135.2558,,0.039951224,-0.390128968,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31637,001,2025-10-15_16h16.24.588,HW_LDT_1,2024.2.4,MacIntel,107.5268817,,,,,,,,,,,,,,,,,,,,,135.2628,135.4508,135.4508,135.9564,,,,,,,,,,,,,,2.1331,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,1,0,135.9575,138.0973,z,1,2.1331,,[],[],[],[],[],[],[],138.0976,140.0968,140.0972,140.1004,[],[],[],[],[],[],[],,140.1005,140.1021,0.058953373,-0.208808697,0,0,0,,0,0,0,39,1,1,RL,vabifity,cursive,vabifity_c.png,,,,,
