counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,345.6166,345.8113,345.8114,346.3123,,,,,,,,,,,,,,1.4704,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,43,0,346.3127,347.7839,z,1,1.4704,,[],[],[],[],[],[],[],347.7841,349.7851,349.7851,349.7854,[],[],[],[],[],[],[],,349.7854,349.7855,-0.150219298,-0.165570175,0,0,0,,0,42,42,73,1,3,TL,speficic,print,speficic_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,349.7869,349.981,349.981,350.4811,,,,,,,,,,,,,,1.3733,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,44,0,350.4817,351.8557,m,1,1.3733,,[],[],[],[],[],[],[],351.8558,353.8545,353.8547,353.8549,[],[],[],[],[],[],[],,353.855,353.8551,-0.150219298,-0.165570175,0,0,0,,0,43,43,118,1,3,word,MEDICINE,print,medicine_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,353.8563,354.0546,354.0546,354.555,,,,,,,,,,,,,,1.6682,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,45,0,354.5556,356.2245,m,1,1.6682,,[],[],[],[],[],[],[],356.2245,358.2365,358.2365,358.2368,[],[],[],[],[],[],[],,358.2368,358.2369,-0.150219298,-0.165570175,0,0,0,,0,44,44,133,1,3,word,PROVIDE,print,provide_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,358.238,358.4262,358.4262,358.9412,,,,,,,,,,,,,,0.8791,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,46,0,358.9417,359.8221,z,1,0.8791,,[],[],[],[],[],[],[],359.8222,361.8264,361.8264,361.8265,[],[],[],[],[],[],[],,361.8265,361.8267,-0.150219298,-0.165570175,0,0,0,,0,45,45,3,1,3,RL,bebine,cursive,bebine_c.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,361.8279,362.0272,362.0272,362.527,,,,,,,,,,,,,,1.0627,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,47,0,362.5276,363.5945,m,1,1.0627,,[],[],[],[],[],[],[],363.5947,365.5828,365.5829,365.5831,[],[],[],[],[],[],[],,365.5832,365.5833,-0.150219298,-0.165570175,0,0,0,,0,46,46,146,1,3,word,RETIRE,print,retire_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,365.5848,365.7794,365.7795,366.2918,,,,,,,,,,,,,,0.8508,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,48,0,366.2923,367.1466,z,1,0.8508,,[],[],[],[],[],[],[],367.1467,369.148,369.1481,369.1483,[],[],[],[],[],[],[],,369.1483,369.1484,-0.150219298,-0.165570175,0,0,0,,0,47,47,22,1,3,RL,procogal,print,procogal_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,369.1494,369.3482,369.3484,369.8489,,,,,,,,,,,,,,1.0286,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,49,0,369.8493,370.8826,z,1,1.0286,,[],[],[],[],[],[],[],370.8827,372.884,372.8842,372.8844,[],[],[],[],[],[],[],,372.8844,372.8845,-0.150219298,-0.165570175,0,0,0,,0,48,48,55,1,3,TL,mecidine,print,mecidine_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,372.8855,373.0843,373.0844,373.5844,,,,,,,,,,,,,,1.5623,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,50,0,373.5851,375.1523,z,1,1.5623,,[],[],[],[],[],[],[],375.1524,377.1536,377.1536,377.1537,[],[],[],[],[],[],[],,377.1538,377.1539,-0.150219298,-0.165570175,0,0,0,,0,49,49,27,1,3,RL,recile,print,recile_p.png,,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,377.1553,377.3503,377.3503,377.8543,,,,,,,,,,,,,,2.0151,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,51,1,377.8551,379.8721,z,0,2.0151,,[],[],[],[],[],[],[],379.8721,381.874,381.8741,382.7739,[],[],[],[],[],[],[],z,382.774,382.7741,-0.150219298,-0.165570175,0,0,0,,0,50,50,117,1,3,word,MARINE,cursive,marine_c.png,0.8987,,,,,,
,,,,31856,001,2025-10-19_16h39.51.915,HW_LDT_1,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,382.7754,382.9743,382.9743,383.4748,,,,,,,,,,,,,,1.0789,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,52,0,383.4752,384.5549,m,1,1.0789,,[],[],[],[],[],[],[],384.5549,386.5564,386.5564,386.5567,[],[],[],[],[],[],[],,386.5567,386.5568,-0.150219298,-0.165570175,0,0,0,,0,51,51,148,1,3,word,SALINE,cursive,saline_c.png,,,,,,,
