counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,651.309,651.507,651.507,652.007,,,,,,,,,,,,,,0.613,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,124,0,652.007,652.623,z,1,0.613,,[],[],[],[],[],[],[],652.624,654.624,654.624,654.624,[],[],[],[],[],[],[],,,,654.624,654.624,-0.048554913,0.229479769,0,0,0,,0,123,123,34,1,3,TL,aminal,cursive,aminal_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,654.625,654.823,654.823,655.323,,,,,,,,,,,,,,0.643,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,125,0,655.324,655.974,m,1,0.643,,[],[],[],[],[],[],[],655.974,657.974,657.974,657.974,[],[],[],[],[],[],[],,,,657.974,657.974,-0.048554913,0.229479769,0,0,0,,0,124,124,85,1,3,word,BENEFIT,print,benefit_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,657.975,658.174,658.174,658.674,,,,,,,,,,,,,,0.576,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,126,1,658.674,659.257,m,1,0.576,,[],[],[],[],[],[],[],659.257,661.257,661.257,662.723,[],[],[],[],[],[],[],m,1.461,,662.724,662.724,-0.049710983,0.230635838,0,0,0,,0,125,125,125,1,3,word,OPERATOR,print,operator_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,662.724,662.924,662.924,663.423,,,,,,,,,,,,,,0.664,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,127,0,663.424,664.091,z,1,0.664,,[],[],[],[],[],[],[],664.091,666.09,666.09,666.091,[],[],[],[],[],[],[],,,,666.091,666.091,-0.049710983,0.230635838,0,0,0,,0,126,126,21,1,3,RL,potugar,print,potugar_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,666.091,666.29,666.29,666.79,,,,,,,,,,,,,,1.162,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,128,0,666.79,667.957,m,1,1.162,,[],[],[],[],[],[],[],667.957,669.957,669.957,669.957,[],[],[],[],[],[],[],,,,669.957,669.957,-0.049710983,0.230635838,0,0,0,,0,127,127,148,1,3,word,SALINE,cursive,saline_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,669.958,670.157,670.157,670.657,,,,,,,,,,,,,,0.943,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,129,0,670.657,671.607,m,1,0.943,,[],[],[],[],[],[],[],671.607,673.606,673.606,673.606,[],[],[],[],[],[],[],,,,673.606,673.606,-0.049710983,0.230635838,0,0,0,,0,128,128,94,1,3,word,CLINICAL,print,clinical_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,673.607,673.807,673.807,674.307,,,,,,,,,,,,,,0.63,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,130,0,674.307,674.942,m,1,0.63,,[],[],[],[],[],[],[],674.942,676.94,676.94,676.94,[],[],[],[],[],[],[],,,,676.94,676.94,-0.049710983,0.230635838,0,0,0,,0,129,129,97,1,3,word,COVERAGE,print,coverage_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,676.941,677.139,677.14,677.64,,,,,,,,,,,,,,0.537,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,131,0,677.64,678.19,m,1,0.537,,[],[],[],[],[],[],[],678.19,680.19,680.19,680.19,[],[],[],[],[],[],[],,,,680.191,680.191,-0.049710983,0.230635838,0,0,0,,0,130,130,104,1,3,word,DOMINANT,print,dominant_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,680.191,680.39,680.39,680.89,,,,,,,,,,,,,,1.055,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,132,0,680.891,681.957,z,1,1.055,,[],[],[],[],[],[],[],681.957,683.957,683.957,683.957,[],[],[],[],[],[],[],,,,683.957,683.957,-0.049710983,0.230635838,0,0,0,,0,131,131,54,1,3,TL,manire,cursive,manire_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,683.958,684.156,684.156,684.657,,,,,,,,,,,,,,0.991,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,133,0,684.657,685.657,z,1,0.991,,[],[],[],[],[],[],[],685.657,687.657,687.657,687.657,[],[],[],[],[],[],[],,,,687.657,687.657,-0.049710983,0.230635838,0,0,0,,0,132,132,51,1,3,TL,liretal,print,liretal_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,687.658,687.856,687.856,688.357,,,,,,,,,,,,,,1.021,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,134,0,688.357,689.39,z,1,1.021,,[],[],[],[],[],[],[],689.39,691.389,691.39,691.39,[],[],[],[],[],[],[],,,,691.39,691.39,-0.049710983,0.230635838,0,0,0,,0,133,133,13,1,3,RL,helicage,cursive,helicage_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,691.391,691.59,691.59,692.09,,,,,,,,,,,,,,1.731,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,135,0,692.09,693.823,z,0,1.731,,[],[],[],[],[],[],[],693.824,695.824,695.824,695.824,[],[],[],[],[],[],[],,,,695.824,695.824,-0.049710983,0.230635838,0,0,0,,0,134,134,109,1,3,word,GRATEFUL,cursive,grateful_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,695.825,696.023,696.024,696.523,,,,,,,,,,,,,,0.716,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,136,1,696.524,697.241,z,1,0.716,,[],[],[],[],[],[],[],697.241,699.24,699.24,701.89,[],[],[],[],[],[],[],z,2.645,,701.89,701.89,-0.049710983,0.230635838,0,0,0,,0,135,135,28,1,3,RL,rovastic,cursive,rovastic_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,701.891,702.09,702.09,702.59,,,,,,,,,,,,,,0.845,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,137,1,702.591,703.44,z,0,0.845,,[],[],[],[],[],[],[],703.44,705.44,705.44,707.957,[],[],[],[],[],[],[],z,2.513,,707.957,707.957,-0.049710983,0.230635838,0,0,0,,0,136,136,90,1,3,word,CAPITAL,cursive,capital_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,707.958,708.157,708.157,708.657,,,,,,,,,,,,,,1.357,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,138,0,708.657,710.023,z,1,1.357,,[],[],[],[],[],[],[],710.023,712.023,712.023,712.024,[],[],[],[],[],[],[],,,,712.024,712.024,-0.049710983,0.230635838,0,0,0,,0,137,137,35,1,3,TL,cateferia,print,cateferia_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,712.025,712.223,712.223,712.723,,,,,,,,,,,,,,0.589,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,139,1,712.724,713.323,z,1,0.589,,[],[],[],[],[],[],[],713.323,715.323,715.323,716.741,[],[],[],[],[],[],[],m,1.417,,716.741,716.741,-0.049710983,0.230635838,0,0,0,,0,138,138,18,1,3,RL,onegator,print,onegator_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,716.742,716.94,716.94,717.44,,,,,,,,,,,,,,0.79,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,140,1,717.44,718.24,z,1,0.79,,[],[],[],[],[],[],[],718.24,720.239,720.239,721.34,[],[],[],[],[],[],[],m,1.093,,721.34,721.34,-0.049710983,0.230635838,0,0,0,,0,139,139,53,1,3,TL,marnigal,print,marnigal_p.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,721.34,721.54,721.54,722.04,,,,,,,,,,,,,,1.244,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,141,0,722.04,723.29,z,1,1.244,,[],[],[],[],[],[],[],723.29,725.29,725.29,725.29,[],[],[],[],[],[],[],,,,725.29,725.29,-0.049710983,0.230635838,0,0,0,,0,140,140,69,1,3,TL,redisent,cursive,redisent_c.png,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,725.291,725.49,725.49,725.99,,,,,,,,,,,,,,0.528,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,142,0,725.99,726.523,z,1,0.528,,[],[],[],[],[],[],[],726.523,728.523,728.523,728.523,[],[],[],[],[],[],[],,,,728.524,728.524,-0.049710983,0.230635838,0,0,0,,0,141,141,0,1,3,RL,afaneur,print,afaneur_p.png,,,,
