counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list4_trials.thisRepN,list4_trials.thisTrialN,list4_trials.thisN,list4_trials.thisIndex,list4_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,683.4366,683.6348,683.6348,684.1349,,,,,,,,,,,,,,1.191,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,87,0,684.1354,685.3349,m,1,1.191,,[],[],[],[],[],[],[],685.3349,687.3346,687.3347,687.3349,[],[],[],[],[],[],[],,687.3349,687.335,-0.102790799,-0.416497396,0,0,0,,0,86,86,134,1,4,word,QUALIFY,print,qualify_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,687.3365,687.5346,687.5347,688.0348,,,,,,,,,,,,,,1.8762,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,88,0,688.0354,689.9348,z,1,1.8762,,[],[],[],[],[],[],[],689.935,691.9349,691.9349,691.9351,[],[],[],[],[],[],[],,691.9351,691.9352,-0.102790799,-0.416497396,0,0,0,,0,87,87,17,1,4,RL,denficy,cursive,denficy_c.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,691.9366,692.1345,692.1346,692.6347,,,,,,,,,,,,,,1.4647,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,89,0,692.6353,694.1014,z,1,1.4647,,[],[],[],[],[],[],[],694.1015,696.1003,696.1003,696.1005,[],[],[],[],[],[],[],,696.1006,696.1007,-0.102790799,-0.416497396,0,0,0,,0,88,88,10,1,4,RL,carminal,cursive,carminal_c.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,696.1018,696.3013,696.3013,696.8013,,,,,,,,,,,,,,0.729,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,90,0,696.802,697.5345,m,1,0.729,,[],[],[],[],[],[],[],697.5345,699.5347,699.5347,699.5348,[],[],[],[],[],[],[],,699.5349,699.5349,-0.102790799,-0.416497396,0,0,0,,0,89,89,145,1,4,word,RESUME,print,resume_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,699.5362,699.7347,699.7348,700.2347,,,,,,,,,,,,,,1.4696,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,91,0,700.2352,701.7347,m,1,1.4696,0.0274,[],[],[],[],[],[],[],701.7349,703.7347,703.7348,703.735,[],[],[],[],[],[],[],,703.735,703.7352,-0.102790799,-0.416497396,0,0,0,,0,90,90,100,1,4,word,DECADE,cursive,decade_c.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,703.7365,703.9347,703.9348,704.4347,,,,,,,,,,,,,,1.1341,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,92,0,704.4352,705.601,z,1,1.1341,,[],[],[],[],[],[],[],705.601,707.6014,707.6015,707.6018,[],[],[],[],[],[],[],,707.6018,707.6019,-0.102790799,-0.416497396,0,0,0,,0,91,91,50,1,4,RL,vecelan,cursive,vecelan_c.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,707.6033,707.8015,707.8016,708.3015,,,,,,,,,,,,,,1.2027,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,93,0,708.302,709.5347,m,1,1.2027,,[],[],[],[],[],[],[],709.5348,711.5348,711.5348,711.535,[],[],[],[],[],[],[],,711.5351,711.5352,-0.102790799,-0.416497396,0,0,0,,0,92,92,141,1,4,word,RELIGION,print,religion_p.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,711.5366,711.7349,711.7349,712.2348,,,,,,,,,,,,,,1.5139,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,94,0,712.2355,713.7683,z,1,1.5139,,[],[],[],[],[],[],[],713.7685,715.7682,715.7683,715.7684,[],[],[],[],[],[],[],,715.7685,715.7686,-0.102790799,-0.416497396,0,0,0,,0,93,93,2,1,4,RL,asiral,cursive,asiral_c.png,,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,715.77,715.9679,715.968,716.4682,,,,,,,,,,,,,,1.8446,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,95,1,716.4689,718.3348,z,1,1.8446,,[],[],[],[],[],[],[],718.3348,720.3348,720.3349,722.1351,[],[],[],[],[],[],[],z,722.1352,722.1353,-0.102790799,-0.416497396,0,0,0,,0,94,94,33,1,4,RL,pamest,cursive,pamest_c.png,1.7786,,,,,
,,,,31704,001,2025-10-15_22h12.01.902,HW_LDT_1,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,722.137,722.3349,722.335,722.8348,,,,,,,,,,,,,,1.0375,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,96,0,722.8354,723.9016,z,1,1.0375,,[],[],[],[],[],[],[],723.9018,725.9017,725.9017,725.9019,[],[],[],[],[],[],[],,725.9019,725.9021,-0.102790799,-0.416497396,0,0,0,,0,95,95,47,1,4,RL,stopave,print,stopave_p.png,,,,,,
