counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,797.0499,797.2486,797.2487,797.7486,,,,,,,,,,,,,,0.7375,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,133,0,797.7491,798.4987,z,1,0.7375,,[],[],[],[],[],[],[],798.4988,800.4976,800.4978,800.4979,[],[],[],[],[],[],[],,800.498,800.4981,0.070707801,-0.38335657,0,0,0,,0,132,132,24,1,1,RL,probice,print,probice_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,800.4989,800.6985,800.6987,801.1979,,,,,,,,,,,,,,0.8047,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,134,0,801.1984,802.0151,m,1,0.8047,,[],[],[],[],[],[],[],802.0153,804.015,804.0151,804.0153,[],[],[],[],[],[],[],,804.0154,804.0155,0.070707801,-0.38335657,0,0,0,,0,133,133,92,1,1,word,CATEGORY,print,category_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,804.0164,804.2148,804.2149,804.7149,,,,,,,,,,,,,,1.781,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,135,0,804.7156,806.4976,z,1,1.781,,[],[],[],[],[],[],[],806.4977,808.4982,808.4982,808.4984,[],[],[],[],[],[],[],,808.4984,808.4984,0.070707801,-0.38335657,0,0,0,,0,134,134,50,1,1,TL,condiser,cursive,condiser_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,808.4996,808.6981,808.6982,809.1981,,,,,,,,,,,,,,0.7399,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,136,0,809.1988,809.9481,m,1,0.7399,,[],[],[],[],[],[],[],809.9483,811.948,811.948,811.9483,[],[],[],[],[],[],[],,811.9483,811.9484,0.070707801,-0.38335657,0,0,0,,0,135,135,159,1,1,word,VETERAN,print,veteran_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,811.9494,812.148,812.148,812.648,,,,,,,,,,,,,,1.1903,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,137,0,812.6486,813.848,z,1,1.1903,,[],[],[],[],[],[],[],813.8481,815.847,815.8471,815.8472,[],[],[],[],[],[],[],,815.8472,815.8473,0.070707801,-0.38335657,0,0,0,,0,136,136,4,1,1,RL,carminal,print,carminal_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,815.8484,816.0479,816.048,816.5479,,,,,,,,,,,,,,1.5227,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,138,0,816.5484,818.0805,z,1,1.5227,,[],[],[],[],[],[],[],818.0806,820.081,820.081,820.0812,[],[],[],[],[],[],[],,820.0813,820.0813,0.070707801,-0.38335657,0,0,0,,0,137,137,16,1,1,RL,marmipal,print,marmipal_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,820.0826,820.281,820.2811,820.781,,,,,,,,,,,,,,0.6089,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,139,0,820.7816,821.3976,m,1,0.6089,,[],[],[],[],[],[],[],821.3978,823.3975,823.3977,823.3978,[],[],[],[],[],[],[],,823.3979,823.3979,0.070707801,-0.38335657,0,0,0,,0,138,138,106,1,1,word,ELABORATE,print,elaborate_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,823.3992,823.5972,823.5973,824.0976,,,,,,,,,,,,,,0.7398,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,140,0,824.0981,824.8475,z,1,0.7398,,[],[],[],[],[],[],[],824.8477,826.8474,826.8474,826.8476,[],[],[],[],[],[],[],,826.8476,826.8476,0.070707801,-0.38335657,0,0,0,,0,139,139,20,1,1,RL,nunewical,print,nunewical_p.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,826.849,827.0468,827.047,827.5474,,,,,,,,,,,,,,1.473,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,141,0,827.5479,829.0306,m,1,1.473,,[],[],[],[],[],[],[],829.0307,831.0305,831.0306,831.0307,[],[],[],[],[],[],[],,831.0308,831.0308,0.070707801,-0.38335657,0,0,0,,0,140,140,141,1,1,word,RELIGION,cursive,religion_c.png,,,,,
,,,,31788,001,2025-10-16_22h14.21.983,HW_LDT_1,2024.2.4,MacIntel,63.69426752,,,,,,,,,,,,,,,,,,,,831.032,831.2306,831.2306,831.7299,,,,,,,,,,,,,,0.9132,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,142,0,831.7304,832.6472,m,1,0.9132,,[],[],[],[],[],[],[],832.6472,834.6472,834.6473,834.6474,[],[],[],[],[],[],[],,834.6475,834.6476,0.070707801,-0.38335657,0,0,0,,0,141,141,93,1,1,word,CEREMONY,cursive,ceremony_c.png,,,,,
