counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,response.duration,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,key_resp_probe.rt,key_resp_probe.duration,End.started,End.stopped
list2,,0.6781,0.6784,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,0.7081,27.6686,,-0.089814758,-0.378703732,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,27.6714,31.6927,,-0.112036981,-0.410185242,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,31.6959,35.1428,,-0.091666667,-0.384259288,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,35.1475,40.2821,,-0.091666667,-0.384259288,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,40.3445,40.4763,40.4765,40.9761,40.9764,42.9101,,0,[-0.3],[-0.2990741305881076],[1],[0],[0],[1.927700000003],"[""button_left""]",1.9277,1,42.9106,43.4096,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,43.4115,43.6096,43.6096,44.1095,44.1116,45.5651,,0,[0.4018519083658854],[-0.3268519083658854],[1],[0],[0],[1.4525000000000148],"[""button_right""]",1.4525,1,45.5653,46.0644,0,1,1,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,46.0664,46.2427,46.2428,46.7638,46.766,48.5762,,0,[-0.2787036895751953],[-0.2629630194769965],[1],[0],[0],[1.80920000000296],"[""button_left""]",1.8092,1,48.5764,49.0803,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,49.0825,49.276,49.276,49.7797,49.7816,50.8989,m,1,[],[],[],[],[],[],[],1.1012,1,50.899,51.3926,0,3,3,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,1.1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,51.3945,51.5926,51.5927,52.0924,52.0935,52.9265,m,1,[],[],[],[],[],[],[],0.8074,1,52.9267,53.4308,0,4,4,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.8074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,53.4326,53.626,53.6261,54.1305,54.1324,54.8818,z,1,[],[],[],[],[],[],[],0.7341,1,54.8821,55.381,0,5,5,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.7341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,55.3829,55.5805,55.5805,56.076,56.077,56.626,m,1,[],[],[],[],[],[],[],0.5272,1,56.6262,57.1308,0,6,6,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,57.133,57.3307,57.3308,57.8292,57.8309,58.9592,z,1,[],[],[],[],[],[],[],1.1055,1,58.9595,59.4476,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,z,1.1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,59.4498,59.6425,59.6426,60.1427,60.1444,61.0928,z,1,[],[],[],[],[],[],[],0.9191,1,61.093,61.5978,0,8,8,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.9191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,61.5994,61.7925,61.7926,62.2972,62.2983,63.032,z,1,[],[],[],[],[],[],[],0.7178,1,63.0321,63.5259,0,9,9,14,1,1015,NW,UN,16,miaber,THRALE,z,0.7178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,63.5273,63.714,63.714,64.2138,64.2157,65.0594,m,1,[],[],[],[],[],[],[],0.8244,1,65.0597,65.5474,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.8244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,65.5492,65.7476,65.7476,66.2471,66.2485,67.3265,m,1,[],[],[],[],[],[],[],1.0592,1,67.3266,67.8261,0,11,11,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,1.0592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,67.8275,68.0261,68.0262,68.5308,68.5326,69.265,m,1,[],[],[],[],[],[],[],0.7172,1,69.2652,69.7594,0,12,12,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.7172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,69.7607,69.9638,69.9638,70.4472,70.4482,71.1927,z,1,[],[],[],[],[],[],[],0.7244,1,71.1929,71.6809,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,71.6826,71.876,71.876,72.3758,72.3769,73.3597,z,1,[],[],[],[],[],[],[],0.9555,1,73.36,73.8595,0,14,14,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.9555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,73.861,74.0474,74.0475,74.5473,74.5493,75.2803,m,1,[],[],[],[],[],[],[],0.7162,1,75.2805,75.7804,0,15,15,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.7162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7879,80.1764,,-0.097222222,-0.399074131,1,0,0,instr_done_button_3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,80.1924,80.3646,80.3647,80.8762,,,,,,,,,,,,0.7852,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,1,0,80.8772,81.6653,z,1,0.7852,,[],[],[],[],[],[],[],81.6657,83.6646,83.665,83.6687,[],[],[],[],[],[],[],,83.6689,83.6749,-0.105555556,-0.249074131,0,0,0,,0,0,0,8,1,2,RL,desifate,print,desifate_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,83.6765,83.8643,83.8643,84.3639,,,,,,,,,,,,2.3056,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,2,0,84.3649,86.6765,z,1,2.3056,,[],[],[],[],[],[],[],86.6768,88.6797,88.6798,88.6801,[],[],[],[],[],[],[],,88.6802,88.6804,-0.105555556,-0.249074131,0,0,0,,0,1,1,12,1,2,RL,gralekul,cursive,gralekul_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,88.6816,88.8762,88.8762,89.3809,,,,,,,,,,,,1.2243,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,,3,0,89.3817,90.6095,z,1,1.2243,,[],[],[],[],[],[],[],90.6097,92.6095,92.6095,92.6099,[],[],[],[],[],[],[],,92.61,92.6101,-0.105555556,-0.249074131,0,0,0,,0,2,2,4,1,2,RL,cenesony,print,cenesony_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,92.6113,92.8096,92.8097,93.3093,,,,,,,,,,,,0.8946,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,4,0,93.3102,94.2097,m,1,0.8946,,[],[],[],[],[],[],[],94.2098,96.1978,96.1978,96.1982,[],[],[],[],[],[],[],,96.1983,96.1986,-0.105555556,-0.249074131,0,0,0,,0,3,3,99,1,2,word,DEBATE,print,debate_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,96.1999,96.3976,96.3977,96.8928,,,,,,,,,,,,1.7537,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,5,0,96.8936,98.6483,m,1,1.7537,,[],[],[],[],[],[],[],98.6484,100.6431,100.6433,100.6437,[],[],[],[],[],[],[],,100.6437,100.6439,-0.105555556,-0.249074131,0,0,0,,0,4,4,82,1,2,word,AMATEUR,cursive,amateur_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,100.6451,100.8473,100.8474,101.3479,,,,,,,,,,,,1.0154,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,6,0,101.3486,102.3654,m,1,1.0154,,[],[],[],[],[],[],[],102.3656,104.3597,104.3598,104.3602,[],[],[],[],[],[],[],,104.3603,104.3605,-0.105555556,-0.249074131,0,0,0,,0,5,5,86,1,2,word,BESIDE,cursive,beside_c.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,104.3616,104.5597,104.5597,105.0596,,,,,,,,,,,,0.8036,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,7,0,105.0603,105.8651,m,1,0.8036,,[],[],[],[],[],[],[],105.8652,107.8598,107.8599,107.8603,[],[],[],[],[],[],[],,107.8603,107.8604,-0.105555556,-0.249074131,0,0,0,,0,6,6,114,1,2,word,LOCATE,print,locate_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,107.8615,108.0643,108.0643,108.5595,,,,,,,,,,,,0.8101,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,8,0,108.5601,109.3765,m,1,0.8101,,[],[],[],[],[],[],[],109.3766,111.3644,111.3646,111.3648,[],[],[],[],[],[],[],,111.365,111.3653,-0.105555556,-0.249074131,0,0,0,,0,7,7,154,1,2,word,STORAGE,print,storage_p.png,,,,,
,,,,32333,001,2025-11-10_20h48.49.675,HW_LDT_1,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,111.3667,111.5643,111.5643,112.0596,,,,,,,,,,,,0.6603,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,9,0,112.0603,112.7265,m,1,0.6603,,[],[],[],[],[],[],[],112.7267,114.7307,114.7309,114.7311,[],[],[],[],[],[],[],,114.7313,114.7314,-0.105555556,-0.249074131,0,0,0,,0,8,8,108,1,2,word,FORTUNE,print,fortune_p.png,,,,,
